name	F6F7_qtl	F6F7_h2
Otu28054	0	0.113652634
Otu9530	0	0.113626771
Otu7765	0.5	0.113577286
Otu21082	0	0.113544659
Otu116	0	0.113457621
Otu21086	0	0.113420256
Otu826	0	0.113278671
Otu29669	0	0.113233568
Otu30178	0	0.113231619
Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales	0	0.113169674
Otu3835	0	0.113116647
Otu179	0	0.113105055
Otu16262	0	0.112535788
Otu247	0	0.112289715
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillospira	0	0.112218046
Otu29111	0	0.112076042
Otu1341	0	0.111937835
Otu6996	2	0.111831511
Otu15985	0	0.111789306
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.SMB53	0	0.111655781
Otu3234	0.5	0.111652988
Otu21604	0	0.111650579
Otu1129	0	0.111410718
Otu510	0	0.111265853
Otu9742	0	0.111207522
Otu3106	0	0.111183088
Otu8795	0	0.111156651
Otu4095	0	0.11062977
Otu23001	0	0.110535624
Otu9341	0.5	0.110039832
Otu615	0	0.109971582
Otu4759	0	0.109763813
Otu7853	0	0.109576628
Otu24214	0	0.109548584
Otu15668	0	0.109505993
Otu9913	0.5	0.109368421
Otu16220	0	0.109359275
Otu730	0	0.109268504
Otu7748	0	0.109209203
Otu10291	0	0.109147262
Bacteria.Fibrobacteres.Fibrobacteria.Fibrobacterales.Fibrobacteraceae.Fibrobacter.Fibrobacter_succinogenes	0	0.10881108
Otu279	0	0.108724435
Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Oxalobacteraceae.Oxalobacter	0	0.108724435
Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Oxalobacteraceae.Oxalobacter.Oxalobacter_formigenes	0	0.108724435
Otu1260	0.5	0.108591404
Otu8088	0	0.108511009
Otu1362	0	0.108461188
Bacteria.Elusimicrobia.Elusimicrobia.Elusimicrobiales.Elusimicrobiaceae.Elusimicrobium	0	0.108268636
Otu7027	0.5	0.108265896
Otu678	0	0.10795415
Otu533	0	0.107872907
Otu1150	0	0.107847588
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae	0	0.107361422
Otu13174	0	0.107342817
Otu15703	0.5	0.107288721
Otu9692	0	0.106910794
Otu634	0	0.106734937
Otu29843	0	0.106710154
Otu1298	0.5	0.106667607
Otu15914	0	0.106604646
Otu818	0	0.106602368
Otu13426	0	0.106598834
Otu7008	0	0.106587494
Bacteria.Proteobacteria.Betaproteobacteria	0	0.106407765
Otu1572	0	0.10633443
Otu7780	0	0.106282985
Otu7238	0	0.106218873
Otu16615	0	0.106026139
Otu9017	0	0.105978388
Otu29127	0	0.105894858
Otu8659	0	0.105741165
Otu15669	0	0.105665059
Bacteria.Elusimicrobia.Elusimicrobia.Elusimicrobiales.Elusimicrobiaceae	0.5	0.105652683
Bacteria.Elusimicrobia.Elusimicrobia.Elusimicrobiales	0	0.105652683
Bacteria.Elusimicrobia.Elusimicrobia	0	0.105652683
Bacteria.Elusimicrobia	0	0.105652683
Otu14395	0	0.105401124
Otu1528	0	0.105257805
Otu6990	0.5	0.105180513
Otu1505	0	0.105120386
Otu15827	0	0.105074373
Otu16424	0	0.104956155
Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Succinivibrio	0.5	0.104752345
Otu1172	0	0.104667084
Otu7832	0	0.104429409
Otu10614	0	0.104365866
Otu7145	0	0.104059042
Otu8148	0	0.103761375
Otu23582	0	0.103743812
Otu17279	0	0.103739107
Otu815	0	0.103431544
Otu8731	0	0.10342662
Otu7880	0	0.10341167
Otu5208	0	0.103354909
Otu9084	0	0.103323723
Otu878	0	0.103211835
Otu629	0	0.102586007
Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales	0	0.102477765
Otu340	0	0.102449812
Otu21385	0	0.102298416
Otu16189	0	0.102210946
Otu21718	0	0.102150373
Otu15676	0	0.102127765
Otu16663	0	0.102069982
Otu690	0	0.101926935
Otu16855	0	0.101711551
Otu8157	0	0.101560455
Otu5975	0	0.101369481
Otu12292	0	0.101294257
Otu10569	0	0.1011657
Otu15731	0	0.101121093
Otu15021	0	0.101074533
Bacteria.WPS.2	0.5	0.101073319
Otu8755	0	0.101069497
Otu21946	0	0.101049979
Otu23718	0	0.100864934
Otu884	0.5	0.100861997
Otu21373	0	0.100817449
Otu608	0	0.100814831
Otu15752	0	0.10063855
Otu649	1	0.100614976
Otu30330	0	0.100402071
Otu262	0	0.10028155
Otu1147	0	0.100251452
Otu31410	0	0.100202445
Otu23937	0	0.100124218
Otu7213	0	0.100051988
Otu7104	0	0.099926187
Otu148	0	0.09960769
Otu19676	0	0.099511508
Otu28739	0	0.099403254
Otu9949	0.5	0.099209356
Otu492	0	0.099094848
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Paraprevotellaceae.YRC22	0	0.098804703
Otu640	0	0.098796235
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium_perfringens	0	0.098744412
Otu15118	0	0.098590954
Otu15727	1	0.098472862
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus.Coprococcus_catus	0	0.098472862
Bacteria.Tenericutes.RF3.ML615J.28	0.5	0.098422722
Bacteria.Tenericutes.RF3	0	0.098422722
Otu26262	0	0.098243341
Otu19856	0	0.098223079
Otu5896	0	0.098050577
Otu15333	0	0.098034457
Otu125	0	0.097927502
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Parabacteroides	0	0.097449897
Otu5354	0	0.09739392
Otu15701	0	0.09729919
Otu17047	0	0.097270861
Otu5247	0	0.097242201
Otu803	0	0.097237352
Otu15749	0	0.097223593
Otu7842	0	0.097204057
Otu28465	0	0.096740882
Otu21006	0	0.096651834
Otu568	0	0.096466958
Bacteria.Proteobacteria	0	0.09644004
Otu8821	0	0.096345776
Otu15771	0.5	0.096312299
Bacteria.Tenericutes.Mollicutes.Anaeroplasmatales.Anaeroplasmataceae.Anaeroplasma	0	0.096291772
Otu9556	0	0.096209057
Otu29945	0	0.096063836
Otu1339	0	0.095751122
Otu6900	0	0.095658381
Otu6944	0	0.095628502
Otu15763	0	0.095551181
Otu30848	0	0.095478438
Otu6981	1	0.095376449
Otu1113	0	0.095357624
Otu16069	0	0.095322234
Otu1154	0	0.095285692
Otu22727	0	0.095206762
Otu7756	0	0.094959726
Otu906	0	0.094903553
Otu9501	0	0.094804174
Otu15869	0	0.094692714
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium	0	0.094684098
Otu10656	0	0.094654212
Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.p.75.a5	0.5	0.094526789
Otu1569	0	0.094397243
Otu1181	0.5	0.094343973
Otu15754	0	0.094327266
Otu466	0	0.094266673
Otu1168	0	0.094076964
Otu29539	0	0.093964642
Otu13862	0	0.093711771
Otu3258	0	0.093650136
Otu2008	0	0.093619883
Otu29311	0	0.093321162
Otu186	0	0.093089483
Otu7749	0.5	0.093057473
Otu25013	0	0.093043468
Otu11026	0	0.092980003
Otu9086	0	0.092840619
Otu15693	0	0.092806298
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia_producta	0	0.092806298
Otu21823	2	0.092781207
Otu7355	0	0.092754764
Otu15730	0	0.092494358
Otu9187	0	0.09249261
Otu1313	0	0.092435215
Otu7833	1	0.09230746
Otu15692	0	0.092290651
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Adlercreutzia	0	0.092269444
Otu8099	1	0.092226508
Otu756	0	0.09221618
Otu757	0	0.092205931
Otu18913	0	0.092199242
Otu3389	0	0.092182909
Otu1158	1	0.092165282
Bacteria.TM7.TM7.3	0	0.092151338
Otu17026	0	0.091992222
Bacteria.Proteobacteria.Alphaproteobacteria	0	0.091853368
Otu7807	0	0.091699697
Bacteria.TM7.TM7.3.CW040	0	0.091695044
Otu112	0.5	0.091537932
Otu10566	0	0.091456782
Otu23252	0	0.091323843
Otu256	0	0.091241032
Otu15973	0	0.091132993
Bacteria.Tenericutes.Mollicutes.Anaeroplasmatales.Anaeroplasmataceae	0.5	0.091112441
Bacteria.Tenericutes.Mollicutes.Anaeroplasmatales	0	0.091112441
Otu636	0	0.091076641
Otu15931	0	0.091010529
Otu754	1	0.090989649
Otu15690	0.5	0.090822202
Otu23309	0	0.090811233
Otu10631	0	0.090663803
Otu9483	0	0.090647851
Otu1877	0	0.090616639
Otu28915	0	0.090471255
Otu15843	0	0.090414756
Otu29728	0.5	0.090362766
Otu90	0	0.09023917
Otu856	0	0.090232051
Otu1536	0.5	0.09015345
Otu6985	0	0.090091692
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.Prevotella_copri	0	0.090019467
Otu461	0	0.089899757
Otu67	0	0.089819907
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus_reuteri	0	0.089819907
Otu10756	0.5	0.089707198
Otu8656	0.5	0.089529689
Otu18030	0	0.089362984
Otu28486	0	0.089283402
Otu88	0.5	0.088881884
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.S24.7	0	0.088860932
Otu29321	0	0.088529051
Otu30050	0	0.088406892
Otu1145	1.5	0.088405882
Otu110	0	0.088187889
Otu111	1.5	0.088154187
Otu1115	0	0.088086121
Otu28654	0	0.087881732
Otu9560	0	0.087703946
Otu2825	0	0.087702223
Otu15707	1	0.087702145
Otu16551	0	0.087638579
Otu628	0	0.087591695
Otu16101	0	0.087512283
Otu7486	0	0.087377692
Otu16022	0	0.087254876
Otu156	0.5	0.087105024
Otu68	0	0.087016813
Otu29183	0	0.087002001
Otu10719	0	0.086360944
Otu1944	0	0.086236862
Otu9057	0	0.086052417
Otu15762	0	0.086016376
Otu21309	0	0.08574786
Otu8116	0	0.085696463
Otu7770	0	0.085624814
Bacteria.Proteobacteria.Gammaproteobacteria	0	0.085336772
Otu16864	0	0.085307213
Otu30613	0	0.085282022
Otu9344	0	0.085234304
Otu7925	0	0.085065131
Otu17377	0	0.0849587
Otu7123	0	0.084851782
Otu9298	0	0.084676364
Otu7803	0	0.084662437
Otu15617	0	0.084645013
Otu5885	0	0.08459527
Otu7088	0.5	0.084479044
Otu7058	0	0.084462675
Otu17425	0	0.084457878
Otu9233	0	0.084368443
Otu23675	0	0.084305872
Otu15662	0	0.084276726
Otu9271	0	0.084258722
Otu7144	0	0.084233874
Otu739	0	0.084116538
Otu1087	0	0.083975187
Otu201	0	0.08396527
Otu15777	0	0.083889386
Otu576	0	0.083869393
Otu9848	0	0.08385892
Otu753	0	0.083823839
Otu9370	0	0.083757135
Otu18	0	0.083569085
Otu25578	0	0.083512201
Otu28566	0	0.083483672
Otu9492	0	0.083449982
Otu7451	0	0.083417493
Otu7849	0.5	0.083324555
Otu22401	0	0.08324115
Bacteria.TM7.TM7.3.CW040.F16	0	0.083226403
Bacteria.Verrucomicrobia.Verruco.5.WCHB1.41.RFP12	1	0.083119335
Otu7120	0	0.083099463
Otu791	0	0.083093711
Otu7397	0.5	0.083058482
Otu18380	0.5	0.08295947
Otu7800	0	0.082868498
Otu9001	0	0.082866972
Otu11710	0	0.082840893
Otu10082	0	0.082800895
Otu26261	0	0.082764388
Otu23102	0	0.0826946
Otu16248	0	0.082587624
Otu15725	0	0.082573086
Otu21605	0	0.082520912
Otu7220	0	0.082515255
Bacteria.Verrucomicrobia.Verruco.5.WCHB1.41	1	0.082468955
Bacteria.Verrucomicrobia.Verruco.5	0	0.082468955
Otu7502	0	0.082266032
Otu7057	0	0.082209756
Otu15745	0	0.082203856
Otu3216	0	0.08218116
Otu16054	0	0.08214472
Otu356	0	0.082141723
Otu20543	0	0.082120692
Otu7852	0	0.082056825
Otu996	0	0.081853624
Otu29885	0	0.081840122
Otu11902	0	0.081793297
Otu21495	0	0.081679398
Bacteria.Verrucomicrobia	0	0.081296067
Otu5200	0.5	0.081284622
Otu7467	0	0.081228144
Otu28702	0	0.0811946
Otu10568	0	0.081193551
Otu10603	0	0.080909203
Otu26304	0	0.080892254
Otu8232	1	0.080751379
Otu966	0	0.080347615
Otu21700	0	0.08026411
Otu21915	0	0.080183548
Otu24	0	0.080169139
Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales	0	0.08016595
Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Bulleidia	0	0.080156637
Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Bulleidia.Bulleidia_p.1630.c5	0	0.080134528
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae	0	0.080109196
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacteriales	0	0.080109196
Otu1142	0	0.07999263
Otu12336	0	0.079965536
Otu482	0	0.079833525
Otu16256	0	0.07979468
Otu15694	0	0.079780515
Otu29939	0	0.079751619
Otu10654	0	0.07968866
Otu650	1	0.079654005
Otu4545	0	0.079650078
Otu15760	0	0.079398269
Otu18123	0	0.079366697
Otu1314	0	0.079272417
Otu6925	0	0.079163606
Bacteria.Firmicutes.Bacilli.Lactobacillales	0	0.07911069
Otu344	0	0.079029207
Otu16228	0	0.078943239
Otu10084	0	0.078880414
Otu2145	0	0.078716333
Otu11320	0	0.07868747
Otu985	0	0.078540076
Otu21409	0	0.078492581
Otu10090	0	0.07809897
Otu12249	0.5	0.078095274
Otu645	0	0.078004875
Otu9676	0	0.077998613
Otu19724	0	0.077924225
Otu275	0	0.07784047
Bacteria.Proteobacteria.Alphaproteobacteria.RF32	0.5	0.077798155
Otu7236	0	0.077772772
Otu915	0	0.077759407
Otu11643	0	0.077720901
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium_butyricum	0	0.077720901
Otu11024	0.5	0.077684008
Otu681	0	0.077613401
Otu735	0.5	0.077571049
Otu604	0	0.077490843
Otu22089	0	0.077322406
Otu99	0	0.077261718
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.Escherichia.Escherichia_coli	0	0.077261718
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.Escherichia	0	0.077261718
Otu7173	0	0.077188346
Otu15918	0	0.077179962
Otu865	0	0.07715963
