class1	class2	group	shannon
F6_D25(175)	F6_D25	D25	5.198497
F6_D25(175)	F6_D25	D25	4.946483
F6_D25(175)	F6_D25	D25	3.631524
F6_D25(175)	F6_D25	D25	5.089087
F6_D25(175)	F6_D25	D25	4.428502
F6_D25(175)	F6_D25	D25	5.063703
F6_D25(175)	F6_D25	D25	4.467699
F6_D25(175)	F6_D25	D25	3.631531
F6_D25(175)	F6_D25	D25	4.762906
F6_D25(175)	F6_D25	D25	4.830418
F6_D25(175)	F6_D25	D25	4.472163
F6_D25(175)	F6_D25	D25	4.607624
F6_D25(175)	F6_D25	D25	3.253528
F6_D25(175)	F6_D25	D25	3.895476
F6_D25(175)	F6_D25	D25	3.760169
F6_D25(175)	F6_D25	D25	3.636433
F6_D25(175)	F6_D25	D25	4.349367
F6_D25(175)	F6_D25	D25	4.711781
F6_D25(175)	F6_D25	D25	4.790486
F6_D25(175)	F6_D25	D25	3.815472
F6_D25(175)	F6_D25	D25	4.462405
F6_D25(175)	F6_D25	D25	4.940237
F6_D25(175)	F6_D25	D25	5.191751
F6_D25(175)	F6_D25	D25	5.190276
F6_D25(175)	F6_D25	D25	5.710069
F6_D25(175)	F6_D25	D25	4.621753
F6_D25(175)	F6_D25	D25	4.883101
F6_D25(175)	F6_D25	D25	4.22837
F6_D25(175)	F6_D25	D25	3.879567
F6_D25(175)	F6_D25	D25	4.954467
F6_D25(175)	F6_D25	D25	4.780768
F6_D25(175)	F6_D25	D25	4.749894
F6_D25(175)	F6_D25	D25	4.228406
F6_D25(175)	F6_D25	D25	3.961379
F6_D25(175)	F6_D25	D25	4.164291
F6_D25(175)	F6_D25	D25	4.187355
F6_D25(175)	F6_D25	D25	4.764269
F6_D25(175)	F6_D25	D25	4.807828
F6_D25(175)	F6_D25	D25	4.512876
F6_D25(175)	F6_D25	D25	4.844091
F6_D25(175)	F6_D25	D25	4.53543
F6_D25(175)	F6_D25	D25	4.144831
F6_D25(175)	F6_D25	D25	3.957083
F6_D25(175)	F6_D25	D25	4.884814
F6_D25(175)	F6_D25	D25	4.639941
F6_D25(175)	F6_D25	D25	3.993159
F6_D25(175)	F6_D25	D25	4.412613
F6_D25(175)	F6_D25	D25	4.198866
F6_D25(175)	F6_D25	D25	4.28432
F6_D25(175)	F6_D25	D25	4.502032
F6_D25(175)	F6_D25	D25	4.773033
F6_D25(175)	F6_D25	D25	4.777693
F6_D25(175)	F6_D25	D25	4.360968
F6_D25(175)	F6_D25	D25	5.024092
F6_D25(175)	F6_D25	D25	4.503956
F6_D25(175)	F6_D25	D25	4.309093
F6_D25(175)	F6_D25	D25	4.242107
F6_D25(175)	F6_D25	D25	5.183012
F6_D25(175)	F6_D25	D25	4.638682
F6_D25(175)	F6_D25	D25	5.17085
F6_D25(175)	F6_D25	D25	3.615803
F6_D25(175)	F6_D25	D25	4.536162
F6_D25(175)	F6_D25	D25	4.373215
F6_D25(175)	F6_D25	D25	3.359809
F6_D25(175)	F6_D25	D25	4.629417
F6_D25(175)	F6_D25	D25	4.665162
F6_D25(175)	F6_D25	D25	4.665567
F6_D25(175)	F6_D25	D25	4.483083
F6_D25(175)	F6_D25	D25	4.310914
F6_D25(175)	F6_D25	D25	4.229905
F6_D25(175)	F6_D25	D25	3.839337
F6_D25(175)	F6_D25	D25	5.548217
F6_D25(175)	F6_D25	D25	4.174164
F6_D25(175)	F6_D25	D25	2.059959
F6_D25(175)	F6_D25	D25	4.418788
F6_D25(175)	F6_D25	D25	4.626471
F6_D25(175)	F6_D25	D25	4.694692
F6_D25(175)	F6_D25	D25	3.899601
F6_D25(175)	F6_D25	D25	4.481904
F6_D25(175)	F6_D25	D25	4.987956
F6_D25(175)	F6_D25	D25	3.964557
F6_D25(175)	F6_D25	D25	4.864827
F6_D25(175)	F6_D25	D25	4.091717
F6_D25(175)	F6_D25	D25	4.537648
F6_D25(175)	F6_D25	D25	3.880694
F6_D25(175)	F6_D25	D25	4.811813
F6_D25(175)	F6_D25	D25	3.930208
F6_D120(551)	F6_D120	D120	5.793442
F6_D120(551)	F6_D120	D120	5.831874
F6_D120(551)	F6_D120	D120	5.869968
F6_D120(551)	F6_D120	D120	5.745216
F6_D120(551)	F6_D120	D120	5.508562
F6_D120(551)	F6_D120	D120	5.685555
F6_D120(551)	F6_D120	D120	5.780656
F6_D120(551)	F6_D120	D120	5.679375
F6_D120(551)	F6_D120	D120	5.721885
F6_D120(551)	F6_D120	D120	5.579176
F6_D120(551)	F6_D120	D120	5.720422
F6_D120(551)	F6_D120	D120	5.741613
F6_D120(551)	F6_D120	D120	6.061906
F6_D120(551)	F6_D120	D120	5.806289
F6_D120(551)	F6_D120	D120	5.75784
F6_D120(551)	F6_D120	D120	5.663882
F6_D120(551)	F6_D120	D120	5.783853
F6_D120(551)	F6_D120	D120	6.097946
F6_D120(551)	F6_D120	D120	5.673986
F6_D120(551)	F6_D120	D120	6.120183
F6_D120(551)	F6_D120	D120	5.510118
F6_D120(551)	F6_D120	D120	5.754188
F6_D120(551)	F6_D120	D120	6.212096
F6_D120(551)	F6_D120	D120	5.965462
F6_D120(551)	F6_D120	D120	5.86688
F6_D120(551)	F6_D120	D120	6.019392
F6_D120(551)	F6_D120	D120	6.138125
F6_D120(551)	F6_D120	D120	6.10144
F6_D120(551)	F6_D120	D120	5.690842
F6_D120(551)	F6_D120	D120	6.031643
F6_D120(551)	F6_D120	D120	5.817382
F6_D120(551)	F6_D120	D120	5.276043
F6_D120(551)	F6_D120	D120	5.841448
F6_D120(551)	F6_D120	D120	6.088108
F6_D120(551)	F6_D120	D120	4.826736
F6_D120(551)	F6_D120	D120	5.598885
F6_D120(551)	F6_D120	D120	5.744873
F6_D120(551)	F6_D120	D120	6.070688
F6_D120(551)	F6_D120	D120	5.876255
F6_D120(551)	F6_D120	D120	5.869273
F6_D120(551)	F6_D120	D120	5.75333
F6_D120(551)	F6_D120	D120	5.966751
F6_D120(551)	F6_D120	D120	5.575544
F6_D120(551)	F6_D120	D120	5.679735
F6_D120(551)	F6_D120	D120	6.133459
F6_D120(551)	F6_D120	D120	6.080546
F6_D120(551)	F6_D120	D120	6.167803
F6_D120(551)	F6_D120	D120	5.957963
F6_D120(551)	F6_D120	D120	5.951723
F6_D120(551)	F6_D120	D120	6.15327
F6_D120(551)	F6_D120	D120	5.55725
F6_D120(551)	F6_D120	D120	6.051252
F6_D120(551)	F6_D120	D120	5.804544
F6_D120(551)	F6_D120	D120	5.528933
F6_D120(551)	F6_D120	D120	5.727315
F6_D120(551)	F6_D120	D120	5.764169
F6_D120(551)	F6_D120	D120	5.738744
F6_D120(551)	F6_D120	D120	5.547266
F6_D120(551)	F6_D120	D120	5.73395
F6_D120(551)	F6_D120	D120	5.777912
F6_D120(551)	F6_D120	D120	5.834849
F6_D120(551)	F6_D120	D120	6.210963
F6_D120(551)	F6_D120	D120	5.895304
F6_D120(551)	F6_D120	D120	5.462261
F6_D120(551)	F6_D120	D120	5.758955
F6_D120(551)	F6_D120	D120	5.665077
F6_D120(551)	F6_D120	D120	5.704534
F6_D120(551)	F6_D120	D120	6.092239
F6_D120(551)	F6_D120	D120	6.266625
F6_D120(551)	F6_D120	D120	5.739373
F6_D120(551)	F6_D120	D120	5.881535
F6_D120(551)	F6_D120	D120	5.877976
F6_D120(551)	F6_D120	D120	5.625909
F6_D120(551)	F6_D120	D120	6.138218
F6_D120(551)	F6_D120	D120	5.84824
F6_D120(551)	F6_D120	D120	5.709607
F6_D120(551)	F6_D120	D120	6.015412
F6_D120(551)	F6_D120	D120	5.58803
F6_D120(551)	F6_D120	D120	6.006617
F6_D120(551)	F6_D120	D120	5.425065
F6_D120(551)	F6_D120	D120	6.24148
F6_D120(551)	F6_D120	D120	6.005693
F6_D120(551)	F6_D120	D120	5.799638
F6_D120(551)	F6_D120	D120	6.065609
F6_D120(551)	F6_D120	D120	5.727196
F6_D120(551)	F6_D120	D120	5.923121
F6_D120(551)	F6_D120	D120	6.017651
F6_D120(551)	F6_D120	D120	6.048396
F6_D120(551)	F6_D120	D120	5.695079
F6_D120(551)	F6_D120	D120	5.875037
F6_D120(551)	F6_D120	D120	6.038083
F6_D120(551)	F6_D120	D120	5.828645
F6_D120(551)	F6_D120	D120	5.636843
F6_D120(551)	F6_D120	D120	5.96749
F6_D120(551)	F6_D120	D120	6.056357
F6_D120(551)	F6_D120	D120	6.048455
F6_D120(551)	F6_D120	D120	5.349464
F6_D120(551)	F6_D120	D120	6.040054
F6_D120(551)	F6_D120	D120	6.007684
F6_D120(551)	F6_D120	D120	5.768902
F6_D120(551)	F6_D120	D120	6.002925
F6_D120(551)	F6_D120	D120	6.14122
F6_D120(551)	F6_D120	D120	5.899733
F6_D120(551)	F6_D120	D120	5.707915
F6_D120(551)	F6_D120	D120	5.801587
F6_D120(551)	F6_D120	D120	5.939859
F6_D120(551)	F6_D120	D120	6.27068
F6_D120(551)	F6_D120	D120	5.899391
F6_D120(551)	F6_D120	D120	5.843033
F6_D120(551)	F6_D120	D120	5.78738
F6_D120(551)	F6_D120	D120	5.164587
F6_D120(551)	F6_D120	D120	6.112649
F6_D120(551)	F6_D120	D120	6.067853
F6_D120(551)	F6_D120	D120	5.631802
F6_D120(551)	F6_D120	D120	5.716249
F6_D120(551)	F6_D120	D120	5.724768
F6_D120(551)	F6_D120	D120	5.600671
F6_D120(551)	F6_D120	D120	5.843355
F6_D120(551)	F6_D120	D120	6.076575
F6_D120(551)	F6_D120	D120	6.039191
F6_D120(551)	F6_D120	D120	5.531903
F6_D120(551)	F6_D120	D120	6.004069
F6_D120(551)	F6_D120	D120	5.921106
F6_D120(551)	F6_D120	D120	5.901565
F6_D120(551)	F6_D120	D120	5.744171
F6_D120(551)	F6_D120	D120	6.108262
F6_D120(551)	F6_D120	D120	5.784091
F6_D120(551)	F6_D120	D120	6.18532
F6_D120(551)	F6_D120	D120	5.922479
F6_D120(551)	F6_D120	D120	5.862733
F6_D120(551)	F6_D120	D120	5.689262
F6_D120(551)	F6_D120	D120	5.960165
F6_D120(551)	F6_D120	D120	6.166581
F6_D120(551)	F6_D120	D120	5.472315
F6_D120(551)	F6_D120	D120	5.926581
F6_D120(551)	F6_D120	D120	6.204059
F6_D120(551)	F6_D120	D120	5.598803
F6_D120(551)	F6_D120	D120	6.11329
F6_D120(551)	F6_D120	D120	5.658509
F6_D120(551)	F6_D120	D120	6.02822
F6_D120(551)	F6_D120	D120	5.541359
F6_D120(551)	F6_D120	D120	6.244459
F6_D120(551)	F6_D120	D120	5.959245
F6_D120(551)	F6_D120	D120	5.341503
F6_D120(551)	F6_D120	D120	5.831325
F6_D120(551)	F6_D120	D120	5.609436
F6_D120(551)	F6_D120	D120	6.092377
F6_D120(551)	F6_D120	D120	5.991801
F6_D120(551)	F6_D120	D120	5.872416
F6_D120(551)	F6_D120	D120	5.845484
F6_D120(551)	F6_D120	D120	5.155434
F6_D120(551)	F6_D120	D120	6.029624
F6_D120(551)	F6_D120	D120	5.680876
F6_D120(551)	F6_D120	D120	6.098617
F6_D120(551)	F6_D120	D120	6.17843
F6_D120(551)	F6_D120	D120	5.887946
F6_D120(551)	F6_D120	D120	6.022542
F6_D120(551)	F6_D120	D120	6.046961
F6_D120(551)	F6_D120	D120	6.034655
F6_D120(551)	F6_D120	D120	5.773144
F6_D120(551)	F6_D120	D120	5.812505
F6_D120(551)	F6_D120	D120	5.872186
F6_D120(551)	F6_D120	D120	5.743799
F6_D120(551)	F6_D120	D120	6.03818
F6_D120(551)	F6_D120	D120	6.112234
F6_D120(551)	F6_D120	D120	5.908715
F6_D120(551)	F6_D120	D120	5.817188
F6_D120(551)	F6_D120	D120	5.868744
F6_D120(551)	F6_D120	D120	5.792569
F6_D120(551)	F6_D120	D120	5.925436
F6_D120(551)	F6_D120	D120	5.611199
F6_D120(551)	F6_D120	D120	5.656123
F6_D120(551)	F6_D120	D120	5.785591
F6_D120(551)	F6_D120	D120	5.92639
F6_D120(551)	F6_D120	D120	5.764156
F6_D120(551)	F6_D120	D120	5.805126
F6_D120(551)	F6_D120	D120	5.584671
F6_D120(551)	F6_D120	D120	6.048242
F6_D120(551)	F6_D120	D120	5.690019
F6_D120(551)	F6_D120	D120	6.118959
F6_D120(551)	F6_D120	D120	5.43488
F6_D120(551)	F6_D120	D120	5.971562
F6_D120(551)	F6_D120	D120	5.648899
F6_D120(551)	F6_D120	D120	5.922957
F6_D120(551)	F6_D120	D120	5.517502
F6_D120(551)	F6_D120	D120	5.970712
F6_D120(551)	F6_D120	D120	5.810588
F6_D120(551)	F6_D120	D120	5.97767
F6_D120(551)	F6_D120	D120	5.714824
F6_D120(551)	F6_D120	D120	5.940801
F6_D120(551)	F6_D120	D120	5.761351
F6_D120(551)	F6_D120	D120	5.910621
F6_D120(551)	F6_D120	D120	5.790836
F6_D120(551)	F6_D120	D120	6.179533
F6_D120(551)	F6_D120	D120	5.730371
F6_D120(551)	F6_D120	D120	6.420837
F6_D120(551)	F6_D120	D120	5.850279
F6_D120(551)	F6_D120	D120	5.83526
F6_D120(551)	F6_D120	D120	5.601943
F6_D120(551)	F6_D120	D120	5.654399
F6_D120(551)	F6_D120	D120	5.974447
F6_D120(551)	F6_D120	D120	6.096686
F6_D120(551)	F6_D120	D120	5.857774
F6_D120(551)	F6_D120	D120	6.132933
F6_D120(551)	F6_D120	D120	5.823003
F6_D120(551)	F6_D120	D120	6.014055
F6_D120(551)	F6_D120	D120	5.996559
F6_D120(551)	F6_D120	D120	5.986971
F6_D120(551)	F6_D120	D120	5.619648
F6_D120(551)	F6_D120	D120	6.062693
F6_D120(551)	F6_D120	D120	5.936995
F6_D120(551)	F6_D120	D120	6.272313
F6_D120(551)	F6_D120	D120	5.805949
F6_D120(551)	F6_D120	D120	5.985303
F6_D120(551)	F6_D120	D120	5.963124
F6_D120(551)	F6_D120	D120	6.181382
F6_D120(551)	F6_D120	D120	5.761358
F6_D120(551)	F6_D120	D120	5.787689
F6_D120(551)	F6_D120	D120	6.086191
F6_D120(551)	F6_D120	D120	5.808176
F6_D120(551)	F6_D120	D120	5.911355
F6_D120(551)	F6_D120	D120	6.032679
F6_D120(551)	F6_D120	D120	5.679013
F6_D120(551)	F6_D120	D120	5.591519
F6_D120(551)	F6_D120	D120	5.757378
F6_D120(551)	F6_D120	D120	5.492681
F6_D120(551)	F6_D120	D120	6.028906
F6_D120(551)	F6_D120	D120	5.615126
F6_D120(551)	F6_D120	D120	5.6207
F6_D120(551)	F6_D120	D120	5.694164
F6_D120(551)	F6_D120	D120	5.985442
F6_D120(551)	F6_D120	D120	5.611114
F6_D120(551)	F6_D120	D120	6.197303
F6_D120(551)	F6_D120	D120	5.708396
F6_D120(551)	F6_D120	D120	5.883114
F6_D120(551)	F6_D120	D120	5.837754
F6_D120(551)	F6_D120	D120	6.215426
F6_D120(551)	F6_D120	D120	5.976793
F6_D120(551)	F6_D120	D120	5.417554
F6_D120(551)	F6_D120	D120	5.789168
F6_D120(551)	F6_D120	D120	6.148218
F6_D120(551)	F6_D120	D120	5.624291
F6_D120(551)	F6_D120	D120	5.872346
F6_D120(551)	F6_D120	D120	5.522035
F6_D120(551)	F6_D120	D120	5.841458
F6_D120(551)	F6_D120	D120	5.692197
F6_D120(551)	F6_D120	D120	5.671946
F6_D120(551)	F6_D120	D120	5.772893
F6_D120(551)	F6_D120	D120	5.87261
F6_D120(551)	F6_D120	D120	5.975678
F6_D120(551)	F6_D120	D120	5.465235
F6_D120(551)	F6_D120	D120	5.605295
F6_D120(551)	F6_D120	D120	5.69254
F6_D120(551)	F6_D120	D120	5.849111
F6_D120(551)	F6_D120	D120	5.837981
F6_D120(551)	F6_D120	D120	5.922272
F6_D120(551)	F6_D120	D120	5.721945
F6_D120(551)	F6_D120	D120	6.324143
F6_D120(551)	F6_D120	D120	6.072802
F6_D120(551)	F6_D120	D120	5.869225
F6_D120(551)	F6_D120	D120	6.040724
F6_D120(551)	F6_D120	D120	5.747959
F6_D120(551)	F6_D120	D120	5.77449
F6_D120(551)	F6_D120	D120	5.777085
F6_D120(551)	F6_D120	D120	5.784834
F6_D120(551)	F6_D120	D120	5.585274
F6_D120(551)	F6_D120	D120	6.076172
F6_D120(551)	F6_D120	D120	5.457381
F6_D120(551)	F6_D120	D120	6.261153
F6_D120(551)	F6_D120	D120	5.712789
F6_D120(551)	F6_D120	D120	5.863676
F6_D120(551)	F6_D120	D120	6.056702
F6_D120(551)	F6_D120	D120	5.654754
F6_D120(551)	F6_D120	D120	5.733543
F6_D120(551)	F6_D120	D120	6.169159
F6_D120(551)	F6_D120	D120	5.734793
F6_D120(551)	F6_D120	D120	5.985948
F6_D120(551)	F6_D120	D120	5.640134
F6_D120(551)	F6_D120	D120	6.03503
F6_D120(551)	F6_D120	D120	6.048281
F6_D120(551)	F6_D120	D120	5.290977
F6_D120(551)	F6_D120	D120	5.601071
F6_D120(551)	F6_D120	D120	5.450974
F6_D120(551)	F6_D120	D120	5.477254
F6_D120(551)	F6_D120	D120	5.387924
F6_D120(551)	F6_D120	D120	5.546667
F6_D120(551)	F6_D120	D120	5.708915
F6_D120(551)	F6_D120	D120	5.590936
F6_D120(551)	F6_D120	D120	6.008596
F6_D120(551)	F6_D120	D120	5.823293
F6_D120(551)	F6_D120	D120	5.625348
F6_D120(551)	F6_D120	D120	5.98878
F6_D120(551)	F6_D120	D120	6.091603
F6_D120(551)	F6_D120	D120	5.800867
F6_D120(551)	F6_D120	D120	5.958605
F6_D120(551)	F6_D120	D120	4.775796
F6_D120(551)	F6_D120	D120	5.480484
F6_D120(551)	F6_D120	D120	6.044044
F6_D120(551)	F6_D120	D120	5.871454
F6_D120(551)	F6_D120	D120	5.739455
F6_D120(551)	F6_D120	D120	6.102755
F6_D120(551)	F6_D120	D120	6.279859
F6_D120(551)	F6_D120	D120	5.653058
F6_D120(551)	F6_D120	D120	5.869746
F6_D120(551)	F6_D120	D120	6.000855
F6_D120(551)	F6_D120	D120	5.759223
F6_D120(551)	F6_D120	D120	5.561142
F6_D120(551)	F6_D120	D120	5.891926
F6_D120(551)	F6_D120	D120	5.692068
F6_D120(551)	F6_D120	D120	6.237756
F6_D120(551)	F6_D120	D120	6.156487
F6_D120(551)	F6_D120	D120	5.343626
F6_D120(551)	F6_D120	D120	6.072366
F6_D120(551)	F6_D120	D120	5.800183
F6_D120(551)	F6_D120	D120	5.963521
F6_D120(551)	F6_D120	D120	5.863446
F6_D120(551)	F6_D120	D120	6.034714
F6_D120(551)	F6_D120	D120	6.127927
F6_D120(551)	F6_D120	D120	5.685251
F6_D120(551)	F6_D120	D120	5.966918
F6_D120(551)	F6_D120	D120	5.885385
F6_D120(551)	F6_D120	D120	5.853151
F6_D120(551)	F6_D120	D120	5.934403
F6_D120(551)	F6_D120	D120	5.946852
F6_D120(551)	F6_D120	D120	5.795727
F6_D120(551)	F6_D120	D120	5.89448
F6_D120(551)	F6_D120	D120	5.871576
F6_D120(551)	F6_D120	D120	5.469751
F6_D120(551)	F6_D120	D120	5.487615
F6_D120(551)	F6_D120	D120	5.722415
F6_D120(551)	F6_D120	D120	5.851162
F6_D120(551)	F6_D120	D120	5.89601
F6_D120(551)	F6_D120	D120	5.710582
F6_D120(551)	F6_D120	D120	5.865918
F6_D120(551)	F6_D120	D120	5.735204
F6_D120(551)	F6_D120	D120	5.759125
F6_D120(551)	F6_D120	D120	6.116498
F6_D120(551)	F6_D120	D120	5.761476
F6_D120(551)	F6_D120	D120	5.822649
F6_D120(551)	F6_D120	D120	5.532538
F6_D120(551)	F6_D120	D120	6.265652
F6_D120(551)	F6_D120	D120	5.747016
F6_D120(551)	F6_D120	D120	6.257683
F6_D120(551)	F6_D120	D120	5.991656
F6_D120(551)	F6_D120	D120	5.83508
F6_D120(551)	F6_D120	D120	5.599991
F6_D120(551)	F6_D120	D120	5.94214
F6_D120(551)	F6_D120	D120	5.718747
F6_D120(551)	F6_D120	D120	6.023455
F6_D120(551)	F6_D120	D120	6.233384
F6_D120(551)	F6_D120	D120	6.002774
F6_D120(551)	F6_D120	D120	5.851985
F6_D120(551)	F6_D120	D120	6.30839
F6_D120(551)	F6_D120	D120	5.814497
F6_D120(551)	F6_D120	D120	6.06573
F6_D120(551)	F6_D120	D120	5.902178
F6_D120(551)	F6_D120	D120	6.357028
F6_D120(551)	F6_D120	D120	6.065551
F6_D120(551)	F6_D120	D120	5.802493
F6_D120(551)	F6_D120	D120	5.759653
F6_D120(551)	F6_D120	D120	5.734126
F6_D120(551)	F6_D120	D120	5.630959
F6_D120(551)	F6_D120	D120	5.665544
F6_D120(551)	F6_D120	D120	5.652976
F6_D120(551)	F6_D120	D120	5.651314
F6_D120(551)	F6_D120	D120	6.042607
F6_D120(551)	F6_D120	D120	6.122097
F6_D120(551)	F6_D120	D120	5.708098
F6_D120(551)	F6_D120	D120	5.661511
F6_D120(551)	F6_D120	D120	5.911177
F6_D120(551)	F6_D120	D120	6.110895
F6_D120(551)	F6_D120	D120	5.96819
F6_D120(551)	F6_D120	D120	5.750895
F6_D120(551)	F6_D120	D120	5.919071
F6_D120(551)	F6_D120	D120	5.901347
F6_D120(551)	F6_D120	D120	5.621844
F6_D120(551)	F6_D120	D120	5.834089
F6_D120(551)	F6_D120	D120	5.782123
F6_D120(551)	F6_D120	D120	5.977003
F6_D120(551)	F6_D120	D120	5.966873
F6_D120(551)	F6_D120	D120	6.202881
F6_D120(551)	F6_D120	D120	5.605153
F6_D120(551)	F6_D120	D120	5.613651
F6_D120(551)	F6_D120	D120	5.534645
F6_D120(551)	F6_D120	D120	5.515542
F6_D120(551)	F6_D120	D120	5.714705
F6_D120(551)	F6_D120	D120	6.022341
F6_D120(551)	F6_D120	D120	5.146893
F6_D120(551)	F6_D120	D120	5.370293
F6_D120(551)	F6_D120	D120	5.437269
F6_D120(551)	F6_D120	D120	5.621741
F6_D120(551)	F6_D120	D120	5.497981
F6_D120(551)	F6_D120	D120	5.480724
F6_D120(551)	F6_D120	D120	5.826485
F6_D120(551)	F6_D120	D120	5.293457
F6_D120(551)	F6_D120	D120	5.637298
F6_D120(551)	F6_D120	D120	5.726143
F6_D120(551)	F6_D120	D120	6.029948
F6_D120(551)	F6_D120	D120	5.736439
F6_D120(551)	F6_D120	D120	5.834578
F6_D120(551)	F6_D120	D120	5.686469
F6_D120(551)	F6_D120	D120	5.742024
F6_D120(551)	F6_D120	D120	5.814944
F6_D120(551)	F6_D120	D120	5.541374
F6_D120(551)	F6_D120	D120	5.399086
F6_D120(551)	F6_D120	D120	5.109856
F6_D120(551)	F6_D120	D120	5.463648
F6_D120(551)	F6_D120	D120	5.542609
F6_D120(551)	F6_D120	D120	5.474472
F6_D120(551)	F6_D120	D120	6.062201
F6_D120(551)	F6_D120	D120	5.509703
F6_D120(551)	F6_D120	D120	5.121606
F6_D120(551)	F6_D120	D120	5.647485
F6_D120(551)	F6_D120	D120	6.02716
F6_D120(551)	F6_D120	D120	5.15478
F6_D120(551)	F6_D120	D120	5.470923
F6_D120(551)	F6_D120	D120	5.720617
F6_D120(551)	F6_D120	D120	5.419291
F6_D120(551)	F6_D120	D120	5.720119
F6_D120(551)	F6_D120	D120	5.594371
F6_D120(551)	F6_D120	D120	5.566267
F6_D120(551)	F6_D120	D120	5.947139
F6_D120(551)	F6_D120	D120	5.69064
F6_D120(551)	F6_D120	D120	5.774832
F6_D120(551)	F6_D120	D120	6.208517
F6_D120(551)	F6_D120	D120	5.791247
F6_D120(551)	F6_D120	D120	5.909502
F6_D120(551)	F6_D120	D120	5.603257
F6_D120(551)	F6_D120	D120	6.074709
F6_D120(551)	F6_D120	D120	5.697358
F6_D120(551)	F6_D120	D120	5.219609
F6_D120(551)	F6_D120	D120	5.807587
