id	PCOA1	PCOA2	group1	group2
5431D	0.13407405	-0.133858797	F6_D25	F6
5432D	0.040021023	-0.050128679	F6_D25	F6
5435D	0.083803942	-0.234376167	F6_D25	F6
5439D	0.121670108	-0.146520162	F6_D25	F6
5440D	0.155964043	-0.219830818	F6_D25	F6
5441D	0.005491257	-0.011401364	F6_D25	F6
5444D	0.096562642	-0.218393214	F6_D25	F6
5447D	0.051059617	-0.063155715	F6_D25	F6
5450D	0.185467515	-0.184560754	F6_D25	F6
5453D	0.117320206	-0.225905816	F6_D25	F6
5454D	0.220676068	-0.06656192	F6_D25	F6
5457D	0.193285974	-0.168559038	F6_D25	F6
5458D	0.082622774	-0.197492712	F6_D25	F6
5459D	0.109411618	-0.249649184	F6_D25	F6
5462D	0.151352647	-0.131393207	F6_D25	F6
5463D	0.100686563	-0.106575182	F6_D25	F6
5468D	0.146819506	-0.115575099	F6_D25	F6
5472D	0.126157003	-0.103262423	F6_D25	F6
5476D	0.228115367	-0.178484627	F6_D25	F6
5477D	-0.065251815	0.03653554	F6_D25	F6
5478D	0.205409299	-0.036679185	F6_D25	F6
5484D	0.253518176	-0.131704169	F6_D25	F6
5485D	0.128316451	-0.042802655	F6_D25	F6
5486D	0.081708941	-0.163363304	F6_D25	F6
5487D	0.126624908	-0.065295222	F6_D25	F6
5490D	0.291521583	-0.025203765	F6_D25	F6
5492D	0.13049817	-0.112903797	F6_D25	F6
5496D	0.035448454	-0.047217252	F6_D25	F6
5498D	0.155396722	-0.074148906	F6_D25	F6
5500D	0.03219148	-0.133668698	F6_D25	F6
5503D	0.203950868	-0.162660839	F6_D25	F6
5511D	0.066754747	-0.135821983	F6_D25	F6
5513D	0.212873772	-0.125871109	F6_D25	F6
5515D	0.053824856	-0.142937009	F6_D25	F6
5517D	0.094806486	-0.162241822	F6_D25	F6
4000M	-0.180162555	0.044105615	F6_D120	F6
4001M	-0.222864138	0.078740542	F6_D120	F6
4002M	-0.216897572	0.153521548	F6_D120	F6
4003M	-0.17214223	0.144137973	F6_D120	F6
4004M	-0.222365696	0.146404487	F6_D120	F6
4005M	-0.207845865	0.116300008	F6_D120	F6
4006M	-0.23488326	0.103685047	F6_D120	F6
4007M	-0.230050913	0.070014227	F6_D120	F6
4008M	-0.181596581	0.152576318	F6_D120	F6
4009M	-0.185647367	0.088331859	F6_D120	F6
4010M	-0.214546256	0.078604644	F6_D120	F6
4012M	-0.186260208	0.155915674	F6_D120	F6
4013M	-0.209072896	0.161477348	F6_D120	F6
4014M	-0.244167396	0.132742564	F6_D120	F6
4015M	-0.162842379	0.142885243	F6_D120	F6
4016M	-0.205599233	0.046419517	F6_D120	F6
4017M	-0.222006732	0.078907907	F6_D120	F6
4018M	-0.185590909	0.10914736	F6_D120	F6
4020M	-0.21587371	0.036620385	F6_D120	F6
4021M	-0.229811266	0.116320157	F6_D120	F6
4022M	-0.195193922	0.115624337	F6_D120	F6
4023M	-0.236522336	0.100591883	F6_D120	F6
4024M	-0.21736936	0.189217353	F6_D120	F6
4025M	-0.204684816	0.121621481	F6_D120	F6
4026M	-0.177581737	0.092789921	F6_D120	F6
4028M	-0.204283823	0.056761881	F6_D120	F6
4029M	-0.219016537	0.131919374	F6_D120	F6
4030M	-0.228548038	0.150529634	F6_D120	F6
4031M	-0.168686126	0.167130968	F6_D120	F6
4032M	-0.235863053	0.038984789	F6_D120	F6
4034M	-0.218558637	0.056198731	F6_D120	F6
4035M	-0.113482173	0.172983245	F6_D120	F6
4036M	-0.186841664	0.085012366	F6_D120	F6
4037M	-0.210052832	0.15089428	F6_D120	F6
4038M	-0.026296995	0.059024851	F6_D120	F6
4039M	-0.199723919	0.112861259	F6_D120	F6
4040M	-0.190066029	0.103623654	F6_D120	F6
4041M	-0.176644628	0.13611939	F6_D120	F6
4042M	-0.175386473	0.143416633	F6_D120	F6
4043M	-0.216946243	0.066027686	F6_D120	F6
4044M	-0.202960981	0.096462854	F6_D120	F6
4045M	-0.233819637	0.096382366	F6_D120	F6
4046M	-0.186829964	0.135584524	F6_D120	F6
4048M	-0.177473795	0.152498827	F6_D120	F6
4049M	-0.217562604	0.112519167	F6_D120	F6
4050M	-0.228463173	0.127135898	F6_D120	F6
4051M	-0.218061271	0.108132033	F6_D120	F6
4052M	-0.168305724	0.176425937	F6_D120	F6
4055M	-0.21948826	0.083586861	F6_D120	F6
4057M	-0.21527583	0.156054244	F6_D120	F6
4058M	-0.235792927	0.129854968	F6_D120	F6
4059M	-0.211288844	0.162884681	F6_D120	F6
4060M	-0.254737661	0.171496845	F6_D120	F6
4062M	-0.217144725	0.077399002	F6_D120	F6
4063M	-0.221041185	0.078755953	F6_D120	F6
4064M	-0.238626418	0.045564206	F6_D120	F6
4065M	-0.17375523	0.132333401	F6_D120	F6
4066M	-0.176586171	0.058807004	F6_D120	F6
4067M	-0.192749969	0.162008748	F6_D120	F6
4068M	-0.196718345	0.030385596	F6_D120	F6
4069M	-0.206940161	0.130713668	F6_D120	F6
4070M	-0.219889874	0.107885055	F6_D120	F6
4071M	-0.223709248	0.107593155	F6_D120	F6
4072M	-0.165650471	0.103603905	F6_D120	F6
4075M	-0.170185491	0.136664908	F6_D120	F6
4076M	-0.175557191	0.15181123	F6_D120	F6
4077M	-0.169109473	0.096651437	F6_D120	F6
4078M	-0.211646415	0.114497403	F6_D120	F6
4079M	-0.208871915	0.148624446	F6_D120	F6
4080M	-0.205496741	0.13851716	F6_D120	F6
4081M	-0.179486992	0.145414249	F6_D120	F6
4082M	-0.223270188	0.135529925	F6_D120	F6
4084M	-0.237942571	0.084453829	F6_D120	F6
4085M	-0.194784598	0.13710986	F6_D120	F6
4086M	-0.216361138	0.062953544	F6_D120	F6
4087M	-0.10256772	0.11295853	F6_D120	F6
4088M	-0.202409199	0.166116084	F6_D120	F6
4089M	-0.116485841	0.076208631	F6_D120	F6
4090M	-0.195512994	0.130312943	F6_D120	F6
4091M	-0.182104019	0.173350599	F6_D120	F6
4092M	-0.214635555	0.104196005	F6_D120	F6
4094M	-0.188756932	0.153331388	F6_D120	F6
4095M	-0.176976991	0.137342958	F6_D120	F6
4096M	-0.232185895	0.106344513	F6_D120	F6
4097M	-0.243064363	0.113447815	F6_D120	F6
4098M	-0.232558804	0.078050578	F6_D120	F6
4099M	-0.214588136	0.11022116	F6_D120	F6
4100M	-0.229546782	0.132910663	F6_D120	F6
4101M	-0.183347745	0.106468762	F6_D120	F6
4102M	-0.242558703	0.102364207	F6_D120	F6
4103M	-0.198511434	0.161431125	F6_D120	F6
4104M	-0.187240338	0.093667408	F6_D120	F6
4105M	-0.195177905	0.088721548	F6_D120	F6
4106M	-0.22445981	0.098815407	F6_D120	F6
4108M	-0.164981352	0.152411388	F6_D120	F6
4109M	-0.238089003	0.040284512	F6_D120	F6
4111M	-0.194878582	0.073242326	F6_D120	F6
4113M	-0.233662197	0.099798477	F6_D120	F6
4114M	-0.217491579	0.099984624	F6_D120	F6
4116M	-0.168792239	0.192581912	F6_D120	F6
4117M	-0.216184051	0.160555039	F6_D120	F6
4118M	-0.194863774	0.17559118	F6_D120	F6
4119M	-0.241330574	0.079059154	F6_D120	F6
4120M	-0.199066751	0.198807124	F6_D120	F6
4121M	-0.192513138	0.154069848	F6_D120	F6
4122M	-0.184266949	0.119055372	F6_D120	F6
4123M	-0.184944305	0.165596119	F6_D120	F6
4126M	-0.249075066	0.128098664	F6_D120	F6
4127M	-0.166163012	0.137866885	F6_D120	F6
4128M	-0.204482141	0.074288747	F6_D120	F6
4129M	-0.186779166	0.139447005	F6_D120	F6
4130M	-0.198285276	0.100780948	F6_D120	F6
4131M	-0.150416098	0.163098063	F6_D120	F6
4133M	-0.209946293	0.056985715	F6_D120	F6
4134M	-0.218700717	0.09015319	F6_D120	F6
4135M	-0.224471034	0.127476555	F6_D120	F6
4136M	-0.213023505	0.123873929	F6_D120	F6
4137M	-0.207003037	0.087189612	F6_D120	F6
4138M	-0.227661946	0.082594996	F6_D120	F6
4139M	-0.214488028	0.065013662	F6_D120	F6
4141M	-0.188627671	0.167697476	F6_D120	F6
4142M	-0.238788343	0.096438692	F6_D120	F6
4143M	-0.222680512	0.111752714	F6_D120	F6
4144M	-0.229804053	0.084967235	F6_D120	F6
4145M	-0.171866768	0.220247199	F6_D120	F6
4146M	-0.200914439	0.057889405	F6_D120	F6
4147M	-0.244082125	0.126991307	F6_D120	F6
4148M	-0.225106623	0.114551074	F6_D120	F6
4149M	-0.191888165	0.194742076	F6_D120	F6
4150M	-0.203949689	0.122130356	F6_D120	F6
4153M	-0.205398636	0.122866572	F6_D120	F6
4155M	-0.13740323	0.119687495	F6_D120	F6
4156M	-0.216928558	0.124496801	F6_D120	F6
4157M	-0.229342082	0.093699566	F6_D120	F6
4159M	-0.19027501	0.139679469	F6_D120	F6
4160M	-0.20915869	0.160237236	F6_D120	F6
4161M	-0.150180548	0.164954764	F6_D120	F6
4162M	-0.236630472	0.13779606	F6_D120	F6
4163M	-0.226163348	0.134553267	F6_D120	F6
4164M	-0.219408723	0.083257911	F6_D120	F6
4165M	-0.132959278	0.192550333	F6_D120	F6
4166M	-0.181218	0.138280107	F6_D120	F6
4168M	-0.190618862	0.1181437	F6_D120	F6
4169M	-0.136533859	0.166448472	F6_D120	F6
4170M	-0.227475892	0.114980832	F6_D120	F6
4171M	-0.095249107	0.197335741	F6_D120	F6
4173M	-0.226404143	0.14859497	F6_D120	F6
4174M	-0.183504542	0.161226458	F6_D120	F6
4175M	-0.178955802	0.059074765	F6_D120	F6
4176M	-0.125867558	0.145892929	F6_D120	F6
4177M	-0.148809675	0.115727524	F6_D120	F6
4178M	-0.196741931	0.084291393	F6_D120	F6
4179M	-0.171329466	0.135347191	F6_D120	F6
4180M	-0.204932733	0.067357935	F6_D120	F6
4181M	-0.201439962	0.146451865	F6_D120	F6
4182M	-0.160572809	0.193872003	F6_D120	F6
4183M	-0.188542461	0.128762277	F6_D120	F6
4184M	-0.229793165	0.137064524	F6_D120	F6
4185M	-0.170001954	0.153292582	F6_D120	F6
4186M	-0.182175897	0.139384565	F6_D120	F6
4187M	-0.229652487	0.108227402	F6_D120	F6
4188M	-0.193980279	0.108024371	F6_D120	F6
4189M	-0.193395495	0.149436352	F6_D120	F6
4190M	-0.204577348	0.110475885	F6_D120	F6
4191M	-0.191124266	0.142937794	F6_D120	F6
4192M	-0.112416482	0.151661195	F6_D120	F6
4193M	-0.156340954	0.143540124	F6_D120	F6
4194M	-0.173766547	0.165424017	F6_D120	F6
4195M	-0.208924991	0.167749111	F6_D120	F6
4197M	-0.214282282	0.164393631	F6_D120	F6
4198M	-0.145852007	0.160726989	F6_D120	F6
4199M	-0.230873544	0.07887116	F6_D120	F6
4201M	-0.181378427	0.195416327	F6_D120	F6
4202M	-0.185480254	0.127846042	F6_D120	F6
4205M	-0.117318352	0.164888971	F6_D120	F6
4207M	-0.212967418	0.164288617	F6_D120	F6
4208M	-0.070717277	0.098910306	F6_D120	F6
4209M	-0.238557168	0.087508037	F6_D120	F6
4211M	-0.227129379	0.088196555	F6_D120	F6
4212M	-0.206046231	0.071320936	F6_D120	F6
4213M	-0.151273984	0.061893141	F6_D120	F6
4214M	-0.166979539	0.141458173	F6_D120	F6
4215M	-0.142318694	0.094376877	F6_D120	F6
4216M	-0.214174512	0.151825536	F6_D120	F6
4217M	-0.128705966	0.072464484	F6_D120	F6
4218M	-0.181190976	0.139646281	F6_D120	F6
4219M	-0.202737226	0.103031065	F6_D120	F6
4220M	-0.243134504	0.177366625	F6_D120	F6
4221M	-0.17731442	0.153656495	F6_D120	F6
4222M	-0.208146369	0.128498851	F6_D120	F6
4223M	-0.16049058	0.204963341	F6_D120	F6
4224M	-0.113777658	0.171461867	F6_D120	F6
4225M	-0.200977388	0.162370523	F6_D120	F6
4226M	-0.16864322	0.165077957	F6_D120	F6
4228M	-0.177934076	0.149436704	F6_D120	F6
4229M	-0.196262812	0.138910108	F6_D120	F6
4230M	-0.225792343	0.096187961	F6_D120	F6
4231M	-0.122997458	0.189006304	F6_D120	F6
4232M	-0.133633551	0.144990644	F6_D120	F6
4234M	-0.153662982	0.157240332	F6_D120	F6
4235M	-0.219883921	0.148947273	F6_D120	F6
4236M	-0.212857797	0.164103363	F6_D120	F6
4237M	-0.158856865	0.179517922	F6_D120	F6
4238M	-0.244972613	0.13690979	F6_D120	F6
4240M	-0.225120177	0.170910645	F6_D120	F6
4243M	-0.179682692	0.17475578	F6_D120	F6
4244M	-0.208686785	0.154259803	F6_D120	F6
4245M	-0.216833181	0.149454294	F6_D120	F6
4246M	-0.205680133	0.182178194	F6_D120	F6
4247M	-0.220121177	0.195057484	F6_D120	F6
4248M	-0.224329217	0.102356763	F6_D120	F6
4249M	-0.22333653	0.167661772	F6_D120	F6
4252M	-0.217828505	0.166334313	F6_D120	F6
4253M	-0.247417775	0.11639512	F6_D120	F6
4254M	-0.185895961	0.155580566	F6_D120	F6
4256M	-0.233666744	0.096646811	F6_D120	F6
4257M	-0.119207503	0.161736207	F6_D120	F6
4258M	-0.223536117	0.094501634	F6_D120	F6
4260M	-0.25117478	0.055905309	F6_D120	F6
4262M	-0.194637104	0.140833473	F6_D120	F6
4265M	-0.173253197	0.080162218	F6_D120	F6
4266M	-0.23112706	0.103035141	F6_D120	F6
4267M	-0.215457657	0.077469804	F6_D120	F6
4269M	-0.147279897	0.131478003	F6_D120	F6
4271M	-0.180261014	0.145277709	F6_D120	F6
4272M	-0.154280138	0.124877515	F6_D120	F6
4274M	-0.195348897	0.151285751	F6_D120	F6
4275M	-0.227983717	0.093053915	F6_D120	F6
4276M	-0.205352977	0.089145963	F6_D120	F6
4277M	-0.209378793	0.123926258	F6_D120	F6
4279M	-0.221486302	0.069168287	F6_D120	F6
4281M	-0.159831112	0.144930823	F6_D120	F6
4284M	-0.205470068	0.075405891	F6_D120	F6
4285M	-0.238549019	0.068682647	F6_D120	F6
4286M	-0.208906098	0.13091145	F6_D120	F6
4287M	-0.229819699	0.145085709	F6_D120	F6
4293M	-0.207672672	0.12452514	F6_D120	F6
4294M	-0.18106701	0.165527076	F6_D120	F6
4296M	-0.124537493	0.119666529	F6_D120	F6
4297M	-0.217102133	0.095386245	F6_D120	F6
4299M	-0.209212139	0.122491111	F6_D120	F6
4300M	-0.212974245	0.120289618	F6_D120	F6
4302M	-0.190821275	0.149858185	F6_D120	F6
4303M	-0.222744964	0.103037183	F6_D120	F6
4304M	-0.237207023	0.112755624	F6_D120	F6
4305M	-0.220019876	0.157370214	F6_D120	F6
4306M	-0.221127004	0.060306356	F6_D120	F6
4308M	-0.229321377	0.133317662	F6_D120	F6
4309M	-0.239542558	0.084296953	F6_D120	F6
4310M	-0.195746989	0.148450846	F6_D120	F6
4311M	-0.145949965	0.119531144	F6_D120	F6
4313M	-0.129097066	0.098161279	F6_D120	F6
4314M	-0.209370647	0.119354985	F6_D120	F6
4316M	-0.189197718	0.141327507	F6_D120	F6
4318M	-0.250617285	0.055246959	F6_D120	F6
4320M	-0.164718714	0.132718208	F6_D120	F6
4321M	-0.161663839	0.141563985	F6_D120	F6
4322M	-0.228918154	0.099140602	F6_D120	F6
4323M	-0.197339021	0.111360745	F6_D120	F6
4324M	-0.249368932	0.060191949	F6_D120	F6
4325M	-0.147589291	0.110517835	F6_D120	F6
4326M	-0.149595171	0.105321767	F6_D120	F6
4327M	-0.121020717	0.060229223	F6_D120	F6
4328M	-0.114902051	0.127549356	F6_D120	F6
4329M	-0.195659997	0.101793569	F6_D120	F6
4330M	-0.152171908	0.186717595	F6_D120	F6
4331M	-0.215358253	0.073760673	F6_D120	F6
4332M	-0.106912838	0.047596952	F6_D120	F6
4334M	-0.211291171	0.126914223	F6_D120	F6
4336M	-0.191797145	0.065468041	F6_D120	F6
4338M	-0.207317352	0.096647525	F6_D120	F6
4340M	-0.188596744	0.124330258	F6_D120	F6
4342M	-0.156490124	0.154822158	F6_D120	F6
4344M	-0.185716943	0.163259125	F6_D120	F6
4345M	-0.190871476	0.128429198	F6_D120	F6
4346M	-0.162925806	0.110524035	F6_D120	F6
4348M	-0.154365959	0.16355089	F6_D120	F6
4349M	-0.193582766	0.128174094	F6_D120	F6
4350M	-0.199184876	0.036482976	F6_D120	F6
4351M	-0.141998772	0.125029695	F6_D120	F6
4353M	-0.072969396	0.089000574	F6_D120	F6
4354M	-0.143984964	0.085432773	F6_D120	F6
4355M	-0.078931133	0.107009667	F6_D120	F6
4356M	-0.139104153	0.070254877	F6_D120	F6
4357M	-0.076087649	0.098791537	F6_D120	F6
4358M	-0.153031913	0.095770505	F6_D120	F6
4359M	-0.201210699	0.046399547	F6_D120	F6
4360M	-0.106973998	0.160544762	F6_D120	F6
4361M	-0.199588498	0.101497926	F6_D120	F6
4364M	-0.160401033	0.131979606	F6_D120	F6
4366M	-0.191397771	0.081098396	F6_D120	F6
4369M	-0.195493654	0.097462337	F6_D120	F6
4371M	-0.159204422	0.082162407	F6_D120	F6
4372M	-0.184217808	0.123947148	F6_D120	F6
4373M	-0.211143722	0.162767567	F6_D120	F6
4374M	0.005286307	0.07252232	F6_D120	F6
4376M	-0.161897293	0.036296605	F6_D120	F6
4377M	-0.217135651	0.094461702	F6_D120	F6
4378M	-0.191940818	0.093048466	F6_D120	F6
4379M	-0.216344599	0.030039937	F6_D120	F6
4380M	-0.167203208	0.121284557	F6_D120	F6
4381M	-0.182658715	0.145986231	F6_D120	F6
4382M	-0.168143895	0.126221181	F6_D120	F6
4383M	-0.208775382	0.17849224	F6_D120	F6
4384M	-0.198617197	0.071649821	F6_D120	F6
4385M	-0.204580269	0.044297939	F6_D120	F6
4386M	-0.164936473	0.129588131	F6_D120	F6
4387M	-0.168085555	0.088102944	F6_D120	F6
4388M	-0.205197487	0.100094628	F6_D120	F6
4389M	-0.200430105	0.080543822	F6_D120	F6
4390M	-0.202149425	0.156289389	F6_D120	F6
4392M	0.016318838	0.132574848	F6_D120	F6
4393M	-0.181978662	0.118533788	F6_D120	F6
4394M	-0.210155622	0.046267589	F6_D120	F6
4395M	-0.234622453	0.067303155	F6_D120	F6
4396M	-0.224527605	0.115345044	F6_D120	F6
4398M	-0.212496228	0.093940985	F6_D120	F6
4399M	-0.207761615	0.140311107	F6_D120	F6
4400M	-0.213366869	0.120128058	F6_D120	F6
4401M	-0.231534631	0.084140491	F6_D120	F6
4402M	-0.226641726	0.090231925	F6_D120	F6
4403M	-0.238381423	0.13899539	F6_D120	F6
4404M	-0.174434781	0.137384782	F6_D120	F6
4406M	-0.212401167	0.13150686	F6_D120	F6
4407M	-0.214770608	0.096457594	F6_D120	F6
4408M	-0.195108338	0.094347687	F6_D120	F6
4410M	-0.185889308	0.113830974	F6_D120	F6
4411M	-0.206633745	0.133107984	F6_D120	F6
4412M	-0.18309102	0.164418223	F6_D120	F6
4413M	-0.225313796	0.127902989	F6_D120	F6
4414M	-0.19392265	0.198193905	F6_D120	F6
4415M	-0.210031045	0.158930343	F6_D120	F6
4416M	-0.199605832	0.125689457	F6_D120	F6
4419M	-0.171253807	0.139126445	F6_D120	F6
4420M	-0.222754312	0.081457327	F6_D120	F6
4421M	-0.129976387	0.182192078	F6_D120	F6
4422M	-0.209124213	0.108922476	F6_D120	F6
4424M	-0.246560578	0.071950635	F6_D120	F6
4425M	-0.15528531	0.188860236	F6_D120	F6
4426M	-0.162895429	0.133418923	F6_D120	F6
4428M	-0.200634597	0.120648055	F6_D120	F6
4429M	-0.187566285	0.110477628	F6_D120	F6
4430M	-0.206357917	0.120726653	F6_D120	F6
4432M	-0.215282022	0.113785302	F6_D120	F6
4434M	-0.201738106	0.113108564	F6_D120	F6
4435M	-0.226050268	0.060655224	F6_D120	F6
4436M	-0.203468656	0.108497635	F6_D120	F6
4438M	-0.153669236	0.158216175	F6_D120	F6
4439M	-0.243592542	0.060709341	F6_D120	F6
4443M	-0.217253643	0.097024576	F6_D120	F6
4445M	-0.236288109	0.12095121	F6_D120	F6
4448M	-0.19700679	0.150093576	F6_D120	F6
4450M	-0.194777283	0.131127767	F6_D120	F6
4452M	-0.159752772	0.141258642	F6_D120	F6
4453M	-0.230722554	0.089887908	F6_D120	F6
4454M	-0.158325875	0.144252138	F6_D120	F6
4457M	-0.186222934	0.150401247	F6_D120	F6
4458M	-0.208061929	0.106493197	F6_D120	F6
4460M	-0.223490629	0.100898958	F6_D120	F6
4462M	-0.195455037	0.126192495	F6_D120	F6
4463M	-0.241452304	0.059644403	F6_D120	F6
