DS	TAX	HER1	HER2	LEVEL
CC	Otu7013	0.1307 	0.1307 	OTUs
CC	Otu16266	0.1304 	0.1304 	OTUs
CC	Otu11009	0.1299 	0.1299 	OTUs
CC	Otu15768	0.1298 	0.1072 	OTUs
CC	Otu136	0.1296 	0.1296 	OTUs
CC	Otu710	0.1294 	0.1173 	OTUs
CC	Otu18475	0.1290 	0.1290 	OTUs
CC	Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales	0.1284 	0.1284 	Order
CC	Otu17225	0.1280 	0.1089 	OTUs
CC	Otu8077	0.1280 	0.0959 	OTUs
CC	Otu6944	0.1280 	0.1279 	OTUs
CC	Otu28445	0.1279 	0.1279 	OTUs
CC	Otu8067	0.1278 	0.1278 	OTUs
CC	Otu16054	0.1275 	0.1275 	OTUs
CC	Otu10157	0.1274 	0.1246 	OTUs
CC	Otu5896	0.1271 	0.1271 	OTUs
CC	Otu183	0.1270 	0.1270 	OTUs
CC	Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Alcaligenaceae	0.1268 	0.1268 	Family
CC	Otu17363	0.1267 	0.1260 	OTUs
CC	Otu8941	0.1265 	0.1252 	OTUs
CC	Otu11580	0.1263 	0.1263 	OTUs
CC	Otu22497	0.1259 	0.1260 	OTUs
CC	Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Alcaligenaceae.Sutterella	0.1258 	0.1258 	Genus
CC	Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae	0.1256 	0.1256 	Family
CC	Bacteria.Verrucomicrobia.Verrucomicrobiae	0.1251 	0.1251 	Class
CC	Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales	0.1251 	0.1251 	Order
CC	Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales.Verrucomicrobiaceae	0.1251 	0.1251 	Family
CC	Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales.Verrucomicrobiaceae.Akkermansia	0.1251 	0.1251 	Genus
CC	Otu13553	0.1248 	0.1210 	OTUs
CC	Otu17381	0.1244 	0.1130 	OTUs
CC	Otu8663	0.1240 	0.1240 	OTUs
CC	Otu15789	0.1230 	0.0937 	OTUs
CC	Otu17438	0.1229 	0.1229 	OTUs
CC	Otu464	0.1225 	0.1225 	OTUs
CC	Otu22014	0.1217 	0.1114 	OTUs
CC	Otu15870	0.1213 	0.1213 	OTUs
CC	Otu31033	0.1210 	0.1210 	OTUs
CC	Otu333	0.1210 	0.1210 	OTUs
CC	Otu28702	0.1210 	0.1074 	OTUs
CC	Otu1355	0.1208 	0.1208 	OTUs
CC	Otu681	0.1205 	0.1163 	OTUs
CC	Otu37	0.1203 	0.1166 	OTUs
CC	Otu16288	0.1202 	0.0738 	OTUs
CC	Otu12336	0.1199 	0.1199 	OTUs
CC	Otu8131	0.1197 	0.1197 	OTUs
CC	Otu11902	0.1195 	0.1103 	OTUs
CC	Otu15799	0.1194 	0.1194 	OTUs
CC	Otu6989	0.1192 	0.1192 	OTUs
CC	Otu16042	0.1191 	0.1017 	OTUs
CC	Otu1258	0.1190 	0.1190 	OTUs
CC	Otu16271	0.1189 	0.1189 	OTUs
CC	Otu10614	0.1189 	0.1127 	OTUs
CC	Otu9236	0.1184 	0.1074 	OTUs
CC	Otu1374	0.1181 	0.1181 	OTUs
CC	Otu511	0.1178 	0.1025 	OTUs
CC	Otu7019	0.1165 	0.0972 	OTUs
CC	Otu9107	0.1163 	0.1036 	OTUs
CC	Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae	0.1161 	0.1161 	Family
CC	Otu85	0.1160 	0.1159 	OTUs
CC	Otu640	0.1160 	0.1160 	OTUs
CC	Otu17063	0.1158 	0.1158 	OTUs
CC	Otu10394	0.1157 	0.1144 	OTUs
CC	Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus	0.1156 	0.1156 	Genus
CC	Otu104	0.1152 	0.1152 	OTUs
CC	Otu28854	0.1149 	0.1149 	OTUs
CC	Otu7762	0.1148 	0.0964 	OTUs
CC	Otu17051	0.1145 	0.1145 	OTUs
CC	Otu1138	0.1142 	0.1142 	OTUs
CC	Otu26278	0.1135 	0.1135 	OTUs
CC	Otu22049	0.1132 	0.0818 	OTUs
CC	Otu15744	0.1130 	0.1130 	OTUs
CC	Otu8818	0.1130 	0.0887 	OTUs
CC	Otu15708	0.1130 	0.1136 	OTUs
CC	Otu15937	0.1130 	0.1033 	OTUs
CC	Otu116	0.1128 	0.1128 	OTUs
CC	Otu13365	0.1128 	0.1128 	OTUs
CC	Otu9113	0.1126 	0.0982 	OTUs
CC	Otu8125	0.1125 	0.1125 	OTUs
CC	Otu16322	0.1125 	0.1116 	OTUs
CC	Otu4759	0.1123 	0.1123 	OTUs
CC	Otu21823	0.1122 	0.1122 	OTUs
CC	Otu775	0.1119 	0.1013 	OTUs
CC	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.Prevotella_copri	0.1116 	0.1116 	Species
CC	Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Pasteurella	0.1113 	0.1113 	Genus
CC	Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Pasteurella.Pasteurella_aerogenes	0.1113 	0.1113 	Species
CC	Otu2042	0.1113 	0.1113 	OTUs
CC	Otu12513	0.1112 	0.1112 	OTUs
CC	Otu9529	0.1112 	0.1112 	OTUs
CC	Otu630	0.1111 	0.1111 	OTUs
CC	Otu6981	0.1105 	0.1105 	OTUs
CC	Otu16594	0.1103 	0.1103 	OTUs
CC	Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia_producta	0.1097 	0.1097 	Species
CC	Otu15693	0.1097 	0.1097 	OTUs
CC	Otu8947	0.1096 	0.1096 	OTUs
CC	Bacteria.Spirochaetes.Spirochaetes.Spirochaetales.Spirochaetaceae.Treponema	0.1094 	0.1094 	Genus
CC	Otu16600	0.1092 	0.1092 	OTUs
CC	Otu15690	0.1089 	0.1089 	OTUs
CC	Otu9546	0.1088 	0.1088 	OTUs
CC	Otu11024	0.1086 	0.1102 	OTUs
CC	Bacteria.Spirochaetes.Spirochaetes.Spirochaetales	0.1086 	0.1086 	Order
CC	Bacteria.Spirochaetes.Spirochaetes.Spirochaetales.Spirochaetaceae	0.1086 	0.1086 	Family
CC	Otu7355	0.1081 	0.1081 	OTUs
CC	Otu9797	0.1081 	0.1081 	OTUs
CC	Otu9216	0.1078 	0.0995 	OTUs
CC	Otu880	0.1075 	0.0923 	OTUs
CC	Bacteria.Proteobacteria.Gammaproteobacteria	0.1070 	0.0907 	Class
CC	Otu632	0.1067 	0.0906 	OTUs
CC	Otu1386	0.1065 	0.0987 	OTUs
CC	Otu15665	0.1065 	0.1065 	OTUs
CC	Otu7807	0.1062 	0.1062 	OTUs
CC	Otu678	0.1060 	0.1060 	OTUs
CC	Otu3327	0.1058 	0.1058 	OTUs
CC	Otu3389	0.1054 	0.1054 	OTUs
CC	Otu19668	0.1050 	0.0980 	OTUs
CC	Otu8869	0.1049 	0.1049 	OTUs
CC	Otu16615	0.1048 	0.1048 	OTUs
CC	Otu11085	0.1045 	0.1034 	OTUs
CC	Otu12044	0.1045 	0.0947 	OTUs
CC	Otu9176	0.1044 	0.1026 	OTUs
CC	Otu1154	0.1044 	0.1044 	OTUs
CC	Otu11000	0.1044 	0.1017 	OTUs
CC	Otu15872	0.1040 	0.0915 	OTUs
CC	Otu21461	0.1037 	0.0817 	OTUs
CC	Otu654	0.1036 	0.1020 	OTUs
CC	Otu7743	0.1034 	0.1028 	OTUs
CC	Otu15728	0.1028 	0.1028 	OTUs
CC	Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.p.75.a5	0.1028 	0.1028 	Genus
CC	Otu16093	0.1025 	0.1025 	OTUs
CC	Otu1507	0.1022 	0.1022 	OTUs
CC	Otu1419	0.1019 	0.1019 	OTUs
CC	Otu735	0.1018 	0.1008 	OTUs
CC	Otu3957	0.1016 	0.1016 	OTUs
CC	Otu754	0.1015 	0.0879 	OTUs
CC	Otu8137	0.1012 	0.0862 	OTUs
CC	Otu29141	0.1011 	0.1011 	OTUs
CC	Otu15924	0.1011 	0.0643 	OTUs
CC	Otu8886	0.1006 	0.1006 	OTUs
CC	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Odoribacteraceae	0.1006 	0.0663 	Family
CC	Otu27470	0.1005 	0.1005 	OTUs
CC	Otu9741	0.1004 	0.0987 	OTUs
CC	Otu11555	0.1002 	0.1001 	OTUs
CC	Otu8706	0.1000 	0.1000 	OTUs
CC	Bacteria.Proteobacteria.Deltaproteobacteria.GMD14H09	0.0998 	0.0998 	Order
CC	Otu7274	0.0993 	0.0378 	OTUs
CC	Otu1276	0.0992 	0.0992 	OTUs
CC	Otu15681	0.0992 	0.0992 	OTUs
CC	Otu6994	0.0991 	0.0893 	OTUs
CC	Otu11086	0.0989 	0.0954 	OTUs
CC	Otu10495	0.0988 	0.0692 	OTUs
CC	Otu11414	0.0987 	0.0987 	OTUs
CC	Otu718	0.0984 	0.0908 	OTUs
CC	Otu15704	0.0979 	0.0637 	OTUs
CC	Otu1495	0.0975 	0.0975 	OTUs
CC	Otu206	0.0974 	0.0974 	OTUs
CC	Otu15670	0.0973 	0.0630 	OTUs
CC	Otu1297	0.0969 	0.0962 	OTUs
CC	Otu472	0.0967 	0.0968 	OTUs
CC	Otu488	0.0967 	0.0945 	OTUs
CC	Otu15692	0.0962 	0.0962 	OTUs
CC	Otu9018	0.0962 	0.0962 	OTUs
CC	Otu1248	0.0961 	0.0893 	OTUs
CC	Otu11344	0.0955 	0.0955 	OTUs
CC	Otu8257	0.0955 	0.0955 	OTUs
CC	Otu18123	0.0955 	0.0892 	OTUs
CC	Otu594	0.0954 	0.0464 	OTUs
CC	Otu10244	0.0953 	0.0953 	OTUs
CC	Otu7856	0.0952 	0.0697 	OTUs
CC	Otu7507	0.0952 	0.0952 	OTUs
CC	Otu26648	0.0951 	0.0951 	OTUs
CC	Otu8083	0.0949 	0.0949 	OTUs
CC	Otu563	0.0948 	0.0785 	OTUs
CC	Otu28446	0.0948 	0.0948 	OTUs
CC	Otu16972	0.0945 	0.0945 	OTUs
CC	Otu15736	0.0945 	0.0872 	OTUs
CC	Otu7784	0.0941 	0.0919 	OTUs
CC	Otu16189	0.0940 	0.0873 	OTUs
CC	Otu1145	0.0940 	0.0898 	OTUs
CC	Bacteria.TM7.TM7.3.CW040.F16	0.0938 	0.0937 	Family
CC	Otu7319	0.0934 	0.0857 	OTUs
CC	Otu7040	0.0934 	0.0934 	OTUs
CC	Otu7598	0.0934 	0.0895 	OTUs
CC	Otu251	0.0931 	0.0931 	OTUs
CC	Otu611	0.0930 	0.0965 	OTUs
CC	Otu6893	0.0930 	0.0867 	OTUs
CC	Otu716	0.0929 	0.0551 	OTUs
CC	Otu15917	0.0926 	0.0926 	OTUs
CC	Otu666	0.0926 	0.0926 	OTUs
CC	Otu28423	0.0924 	0.0820 	OTUs
CC	Otu28665	0.0924 	0.0924 	OTUs
CC	Otu16072	0.0923 	0.0920 	OTUs
CC	Otu10116	0.0920 	0.0692 	OTUs
CC	Otu1222	0.0919 	0.0919 	OTUs
CC	Otu728	0.0916 	0.0916 	OTUs
CC	Otu607	0.0913 	0.0703 	OTUs
CC	Otu26286	0.0912 	0.0912 	OTUs
CC	Otu7982	0.0911 	0.0911 	OTUs
CC	Otu17861	0.0910 	0.0846 	OTUs
CC	Otu7058	0.0910 	0.0821 	OTUs
CC	Otu26283	0.0909 	0.0909 	OTUs
CC	Otu645	0.0904 	0.0764 	OTUs
CC	Otu9166	0.0903 	0.0856 	OTUs
CC	Otu15732	0.0903 	0.0782 	OTUs
CC	Otu8718	0.0901 	0.0901 	OTUs
CC	Otu1542	0.0899 	0.0865 	OTUs
CC	Otu28627	0.0898 	0.0897 	OTUs
CC	Otu15785	0.0897 	0.0897 	OTUs
CC	Bacteria.Verrucomicrobia.Opitutae.Cerasicoccales	0.0897 	0.0897 	Order
CC	Bacteria.Verrucomicrobia.Opitutae.Cerasicoccales.Cerasicoccaceae	0.0897 	0.0897 	Family
CC	Otu9614	0.0895 	0.0895 	OTUs
CC	Otu16506	0.0894 	0.0895 	OTUs
CC	Otu810	0.0892 	0.0814 	OTUs
CC	Otu7817	0.0889 	0.0889 	OTUs
CC	Otu1532	0.0889 	0.0889 	OTUs
CC	Otu15972	0.0889 	0.0889 	OTUs
CC	Otu15769	0.0888 	0.0867 	OTUs
CC	Otu125	0.0888 	0.0597 	OTUs
CC	Otu680	0.0887 	0.0886 	OTUs
CC	Otu1261	0.0885 	0.0766 	OTUs
CC	Otu28595	0.0885 	0.0885 	OTUs
CC	Otu692	0.0881 	0.0846 	OTUs
CC	Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae	0.0881 	0.0592 	Family
CC	Otu634	0.0880 	0.0880 	OTUs
CC	Otu4545	0.0879 	0.0775 	OTUs
CC	Otu7852	0.0879 	0.0681 	OTUs
CC	Otu17026	0.0878 	0.0878 	OTUs
CC	Otu7759	0.0877 	0.0877 	OTUs
CC	Otu24	0.0875 	0.0868 	OTUs
CC	Otu28426	0.0874 	0.0874 	OTUs
CC	Otu706	0.0874 	0.0874 	OTUs
CC	Otu7154	0.0873 	0.0872 	OTUs
CC	Bacteria.Verrucomicrobia.Opitutae	0.0872 	0.0872 	Class
CC	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Paraprevotellaceae.Paraprevotella	0.0872 	0.0872 	Genus
CC	Otu172	0.0868 	0.0814 	OTUs
CC	Otu17715	0.0867 	0.0804 	OTUs
CC	Otu28474	0.0867 	0.0867 	OTUs
CC	Otu29191	0.0867 	0.0847 	OTUs
CC	Otu1162	0.0866 	0.0866 	OTUs
CC	Otu8773	0.0864 	0.0746 	OTUs
CC	Otu1509	0.0862 	0.0699 	OTUs
CC	Otu127	0.0860 	0.0860 	OTUs
CC	Otu29043	0.0854 	0.0854 	OTUs
CC	Otu17025	0.0852 	0.0852 	OTUs
CC	Otu16397	0.0851 	0.0851 	OTUs
CC	Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus	0.0848 	0.0814 	Genus
CC	Otu649	0.0847 	0.0847 	OTUs
CC	Otu21483	0.0847 	0.0806 	OTUs
CC	Otu8894	0.0847 	0.0847 	OTUs
CC	Otu9001	0.0846 	0.0846 	OTUs
CC	Otu15850	0.0845 	0.0845 	OTUs
CC	Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus_luteciae	0.0840 	0.0840 	Species
CC	Otu33	0.0840 	0.0840 	OTUs
CC	Otu9601	0.0840 	0.0840 	OTUs
CC	Otu153	0.0840 	0.0917 	OTUs
CC	Otu7185	0.0834 	0.0680 	OTUs
CC	Otu252	0.0834 	0.0873 	OTUs
CC	Otu674	0.0833 	0.0786 	OTUs
CC	Otu15754	0.0832 	0.0832 	OTUs
CC	Otu1277	0.0832 	0.0832 	OTUs
CC	Otu28844	0.0830 	0.0830 	OTUs
CC	Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus_reuteri	0.0829 	0.0824 	Species
CC	Otu67	0.0829 	0.0824 	OTUs
CC	Otu28526	0.0826 	0.0821 	OTUs
CC	Otu16019	0.0826 	0.0659 	OTUs
CC	Otu21348	0.0823 	0.0748 	OTUs
CC	Otu483	0.0823 	0.0823 	OTUs
CC	Otu29299	0.0822 	0.0822 	OTUs
CC	Otu29859	0.0822 	0.0578 	OTUs
CC	Otu7247	0.0820 	0.0755 	OTUs
CC	Otu15905	0.0818 	0.0750 	OTUs
CC	Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio	0.0818 	0.0776 	Genus
CC	Otu9266	0.0818 	0.0818 	OTUs
