Taxon	Level	Annot	Sample_type	F6_her	F6_abund	F6_pnull	F7_her	F7_abund	F7_pnull
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium	Genus	NA	IC	0.0299	0.324	10.76	0.1327	0.077	26.23
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_simulans	Species	NA	D120	0	0.016	46.95	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_simulans	Species	NA	IC	0	0.003	73.61	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_stationis	Species	NA	D120	0.0755	0.005	59.58	0	0.003	69.88
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_stationis	Species	NA	D240	0.0004	0.002	79.94	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_stationis	Species	NA	CC	0.0629	0.01	54.11	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_stationis	Species	NA	IC	0.1082	0.062	34.38	0.0579	0.011	73.04
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_variabile	Species	NA	D120	0	0.003	75.79	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_variabile	Species	NA	IC	0	0.058	61.81	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae	Family	NA	D120	0.1073	0.002	77.47	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae	Family	NA	CC	0.0868	0.005	66.78	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae	Family	NA	IC	0	0.05	34.72	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Brachybacterium	Genus	NA	D120	0.1073	0.002	77.47	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Brachybacterium	Genus	NA	CC	0.0868	0.005	66.78	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Brachybacterium	Genus	NA	IC	0	0.05	34.72	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae	Family	NA	D25	NA	NA	NA	0.1356	0.003	78.45
Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae	Family	NA	D120	0.0209	0.003	70.11	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae	Family	NA	CC	0.0767	0.015	51.37	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae	Family	NA	IC	0	0.105	34.38	0.1157	0.003	77.45
Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae;Dietzia	Genus	NA	CC	0.1576	0.01	60.96	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae;Dietzia	Genus	NA	IC	0	0.073	38.19	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae	Family	NA	D25	0	0.01	76.54	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Gordoniaceae	Family	NA	D240	0	0.015	58.77	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Gordoniaceae;Gordonia	Genus	NA	D240	0	0.015	58.77	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae	Family	NA	D25	0	0.007	75.31	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae	Family	NA	D240	0.0187	0.009	59.56	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae	Family	NA	IC	0	0.021	50	0.0109	0.015	68.14
Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Phycicoccus	Genus	NA	D25	0	0.007	75.31	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Phycicoccus	Genus	NA	D240	0.0251	0.009	60.35	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Phycicoccus	Genus	NA	IC	0.0627	0.015	54.17	0	0.011	73.77
Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Family	NA	D25	0.1144	0.006	62.96	0.0985	0.007	59.91
Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Family	NA	D120	0.021	0.002	77.89	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Family	NA	D240	0	0.005	65.88	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Family	NA	CC	0.0536	0.004	67.81	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Family	NA	IC	0	2.875	28.47	0	0.007	60.78
Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agrococcus	Genus	NA	IC	0	0.005	65.63	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agrococcus;Agrococcus_jenensis	Species	NA	IC	0	0.005	65.63	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leucobacter	Genus	NA	CC	0.0301	0.002	78.77	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leucobacter	Genus	NA	IC	0.2111	0.016	62.85	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium	Genus	NA	D25	NA	NA	NA	0	0.003	76.29
Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium	Genus	NA	IC	0.0092	2.405	44.44	0	0.002	73.04
Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Microbacterium_maritypicum	Species	NA	IC	0.0674	1.945	56.6	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae	Family	NA	D25	0	0.077	29.63	0.0151	0.021	51.72
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae	Family	NA	D120	0.0692	0.005	60.63	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae	Family	NA	D240	0.0314	0.008	60.19	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae	Family	NA	CC	0	0.006	59.25	0	0.003	72.68
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae	Family	NA	IC	0.0191	0.063	18.75	0.0751	0.024	28.43
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter	Genus	NA	IC	0.0728	0.023	67.01	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria	Genus	NA	IC	0	0.02	43.06	0.0057	0.002	79.66
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus	Genus	NA	IC	0.0488	0.007	55.21	0.066	0.005	66.42
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia	Genus	NA	D25	NA	0.005	54.32	0.0357	0.004	62.93
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia	Genus	NA	D120	0	0.002	75.16	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia	Genus	NA	IC	0.0352	0.008	52.08	0	0.015	40.93
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;Rothia_nasimurium	Species	NA	D25	0.2297	0.005	58.02	0.0357	0.004	62.93
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;Rothia_nasimurium	Species	NA	D120	0	0.002	75.37	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;Rothia_nasimurium	Species	NA	IC	0.073	0.006	61.11	0	0.015	40.93
Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae	Family	NA	D25	0	0.005	79.01	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae	Family	NA	D240	0	0.06	45.66	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium	Genus	NA	D25	0	0.005	79.01	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium	Genus	NA	D240	0	0.06	45.66	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae	Family	NA	D25	0	0.009	76.54	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae	Family	NA	D240	0.033	0.059	19.43	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae	Family	NA	CC	0	0.02	15.41	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae	Family	NA	IC	0	0.439	4.86	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Nocardia	Genus	NA	D240	0	0.016	56.71	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Rhodococcus	Genus	NA	D25	0.1082	0.009	77.78	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Rhodococcus	Genus	NA	D240	0.0234	0.043	20.54	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Rhodococcus	Genus	NA	CC	0	0.02	15.41	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Rhodococcus	Genus	NA	IC	0	0.439	4.86	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Rhodococcus;Rhodococcus_ruber	Species	NA	D240	0	0.011	56.08	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae	Family	NA	D25	0	0.011	75.31	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae	Family	NA	D240	0.0003	0.007	63.82	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae	Family	NA	IC	0.2037	0.01	60.07	0.0164	0.005	70.59
Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Aeromicrobium	Genus	NA	IC	0.1981	0.003	77.78	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Propionicimonas	Genus	NA	IC	NA	NA	NA	0.1018	0.003	77.94
Actinobacteria;Actinobacteria;Actinomycetales;Nocardiopsaceae	Family	NA	IC	0	0.041	70.83	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae	Family	NA	D25	0.2563	0.004	74.07	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae	Family	NA	D240	0	0.006	62.72	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae	Family	NA	IC	0	0.014	62.15	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium	Genus	NA	D240	0	0.005	62.72	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium	Genus	NA	IC	0	0.012	63.19	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium;Propionibacterium_acnes	Species	NA	D240	0	0.005	62.72	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium;Propionibacterium_acnes	Species	NA	IC	0	0.012	63.19	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae	Family	NA	D25	0	0.009	74.07	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae	Family	NA	IC	0.0573	0.382	56.6	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Pseudonocardia	Genus	NA	D25	0	0.004	77.78	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Saccharopolyspora	Genus	NA	IC	0.001	0.371	59.38	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae	Family	NA	D25	0	0.012	71.6	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae	Family	NA	IC	0.0404	0.197	63.54	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Streptomyces	Genus	NA	D25	0	0.008	75.31	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Streptomyces	Genus	NA	IC	0.0354	0.195	64.58	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Yaniellaceae	Family	NA	CC	0.1551	0.009	66.78	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Yaniellaceae	Family	NA	IC	0	0.054	57.29	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Yaniellaceae;Yaniella	Genus	NA	CC	0.1551	0.009	66.78	NA	NA	NA
Actinobacteria;Actinobacteria;Actinomycetales;Yaniellaceae;Yaniella	Genus	NA	IC	0	0.054	57.29	NA	NA	NA
Actinobacteria;Actinobacteria;Bifidobacteriales	Order	NA	D25	0.1009	0.032	54.32	0.0365	0.021	55.17
Actinobacteria;Actinobacteria;Bifidobacteriales	Order	NA	D120	0.0842	0.007	69.26	NA	NA	NA
Actinobacteria;Actinobacteria;Bifidobacteriales	Order	NA	D240	0.0385	0.016	35.07	NA	NA	NA
Actinobacteria;Actinobacteria;Bifidobacteriales	Order	NA	IC	0	0.015	58.33	0	0.017	65.69
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	Family	NA	D25	0.1009	0.032	54.32	0.0365	0.021	55.17
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	Family	NA	D120	0.0842	0.007	69.26	NA	NA	NA
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	Family	NA	D240	0.0385	0.016	35.07	NA	NA	NA
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	Family	NA	IC	0	0.015	58.33	0	0.017	65.69
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	Genus	NA	D25	0.1009	0.032	54.32	0.0365	0.021	55.17
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	Genus	NA	D120	0.0842	0.007	69.26	NA	NA	NA
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	Genus	NA	D240	0.0385	0.016	35.07	NA	NA	NA
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	Genus	NA	IC	0	0.015	58.33	0	0.017	65.69
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium_animalis	Species	NA	D25	0.1348	0.004	77.78	0	0.005	76.29
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium_animalis	Species	NA	D120	0.0212	0.003	72.63	NA	NA	NA
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium_animalis	Species	NA	D240	0.08	0.004	70.46	NA	NA	NA
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium_animalis	Species	NA	IC	0	0.004	72.92	NA	NA	NA
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium_longum	Species	NA	D240	0.0537	0.004	66.19	NA	NA	NA
Actinobacteria;Coriobacteriia	Class	NA	D25	0	0.558	2.47	0.1309	1.386	2.16
Actinobacteria;Coriobacteriia	Class	NA	D120	0.0148	0.265	0.21	0.1428	0.197	0
Actinobacteria;Coriobacteriia	Class	NA	D240	0.0674	0.273	0.16	0.0505	0.259	0
Actinobacteria;Coriobacteriia	Class	NA	CC	0	0.109	0.34	0.0143	0.066	1.88
Actinobacteria;Coriobacteriia	Class	NA	IC	0	0.015	36.81	0	0.02	45.1
Actinobacteria;Coriobacteriia;Coriobacteriales	Order	NA	D25	0	0.558	2.47	0.1309	1.386	2.16
Actinobacteria;Coriobacteriia;Coriobacteriales	Order	NA	D120	0.0148	0.265	0.21	0.1428	0.197	0
Actinobacteria;Coriobacteriia;Coriobacteriales	Order	NA	D240	0.0674	0.273	0.16	0.0505	0.259	0
Actinobacteria;Coriobacteriia;Coriobacteriales	Order	NA	CC	0	0.109	0.34	0.0143	0.066	1.88
Actinobacteria;Coriobacteriia;Coriobacteriales	Order	NA	IC	0	0.015	36.81	0	0.02	45.1
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	Family	NA	D25	0	0.558	2.47	0.1309	1.386	2.16
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	Family	NA	D120	0.0148	0.265	0.21	0.1428	0.197	0
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	Family	NA	D240	0.0674	0.273	0.16	0.0505	0.259	0
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	Family	NA	CC	0	0.109	0.34	0.0143	0.066	1.88
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	Family	NA	IC	0	0.015	36.81	0	0.02	45.1
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Adlercreutzia	Genus	NA	D120	0	0.013	26.74	0	0.008	44.94
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Adlercreutzia	Genus	NA	D240	0.0982	0.017	19.27	0.1071	0.02	16.67
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Adlercreutzia	Genus	NA	CC	0	0.003	61.99	0.0112	0.002	70.49
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	Genus	NA	D25	0	0.143	17.28	0.0795	0.135	11.21
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	Genus	NA	D120	0.0971	0.03	20.42	0.1065	0.039	14.07
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	Genus	NA	D240	0.0199	0.021	24.64	0.0089	0.022	25.09
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	Genus	NA	CC	0	0.011	46.23	0.0209	0.004	69.39
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	Genus	NA	IC	0.0077	0.003	76.39	0.0404	0.004	76.47
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Slackia	Genus	NA	D25	0	0.002	77.78	NA	NA	NA
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Slackia	Genus	NA	D120	0	0.005	54.32	0.1075	0.003	63.46
