chr	group1	ratio	group2
6	LW	0.155660643	F6
6	LD	0.141663143	F6
6	PT	0.115034895	F6
6	WD	0.095443408	F6
6	BX	0.143865905	F7
6	EH	0.156063861	F7
6	LA	0.097919876	F7
6	TB	0.113306177	F7
6	LW	0.128844859	F7
6	LD	0.106072088	F7
6	PT	0.162867627	F7
6	WD	0.091059609	F7
7	BX	0.104081828	F6
7	EH	0.102626495	F6
7	LA	0.161691691	F6
7	TB	0.135383572	F6
7	LW	0.155644483	F6
7	LD	0.129849982	F6
7	PT	0.123353503	F6
7	WD	0.087368446	F6
7	BX	0.071882074	F7
7	EH	0.098307373	F7
7	LA	0.102625946	F7
7	TB	0.14143723	F7
7	LW	0.188423318	F7
7	LD	0.178677569	F7
7	PT	0.103212525	F7
7	WD	0.115433965	F7
8	BX	0.094707617	F6
8	EH	0.168253916	F6
8	LA	0.192256983	F6
8	TB	0.127781062	F6
8	LW	0.146717282	F6
8	LD	0.073435086	F6
8	PT	0.121147969	F6
8	WD	0.075700085	F6
8	BX	0.10993537	F7
8	EH	0.1353127	F7
8	LA	0.189736864	F7
8	TB	0.136506341	F7
8	LW	0.197916203	F7
8	LD	0.076009091	F7
8	PT	0.09715739	F7
8	WD	0.057426042	F7
9	BX	0.119570363	F6
9	EH	0.113537676	F6
9	LA	0.115733496	F6
9	TB	0.204784338	F6
9	LW	0.118159833	F6
9	LD	0.088083373	F6
9	PT	0.166892243	F6
9	WD	0.073238678	F6
9	BX	0.116717118	F7
9	EH	0.099613437	F7
9	LA	0.120834562	F7
9	TB	0.172503819	F7
9	LW	0.132717703	F7
9	LD	0.106421157	F7
9	PT	0.183265859	F7
9	WD	0.067926345	F7
10	BX	0.104953412	F6
10	EH	0.102616896	F6
10	LA	0.136583011	F6
10	TB	0.126505975	F6
10	LW	0.176105542	F6
10	LD	0.067547152	F6
10	PT	0.136701048	F6
10	WD	0.148986963	F6
10	BX	0.12771709	F7
10	EH	0.104814776	F7
10	LA	0.135520129	F7
10	TB	0.122576558	F7
10	LW	0.218133446	F7
10	LD	0.04809229	F7
10	PT	0.110679296	F7
10	WD	0.132466416	F7
11	BX	0.134436001	F6
11	EH	0.168430687	F6
11	LA	0.110773404	F6
11	TB	0.153097584	F6
11	LW	0.128744507	F6
11	LD	0.136284206	F6
11	PT	0.10203863	F6
11	WD	0.066194981	F6
11	BX	0.157320145	F7
11	EH	0.176699305	F7
11	LA	0.082680964	F7
11	TB	0.178882392	F7
11	LW	0.13862233	F7
11	LD	0.099372759	F7
11	PT	0.086280015	F7
11	WD	0.08014209	F7
12	BX	0.141905825	F6
12	EH	0.138297831	F6
12	LA	0.078196432	F6
12	TB	0.130785024	F6
12	LW	0.07712755	F6
12	LD	0.132220958	F6
12	PT	0.181782257	F6
12	WD	0.119684124	F6
12	BX	0.15107639	F7
12	EH	0.125260458	F7
12	LA	0.091349636	F7
12	TB	0.168681745	F7
12	LW	0.102479255	F7
12	LD	0.126217148	F7
12	PT	0.120830492	F7
12	WD	0.114104877	F7
13	BX	0.10049423	F6
13	EH	0.121976541	F6
13	LA	0.117581382	F6
13	TB	0.152522766	F6
13	LW	0.170690106	F6
13	LD	0.098281502	F6
13	PT	0.110441094	F6
13	WD	0.128012379	F6
13	BX	0.129068949	F7
13	EH	0.114700449	F7
13	LA	0.130444121	F7
13	TB	0.116229066	F7
13	LW	0.188667237	F7
13	LD	0.069461173	F7
13	PT	0.116411978	F7
13	WD	0.135017027	F7
14	BX	0.138281809	F6
14	EH	0.074073686	F6
14	LA	0.127641563	F6
14	TB	0.150263523	F6
14	LW	0.113591835	F6
14	LD	0.112249814	F6
14	PT	0.161201939	F6
14	WD	0.122695831	F6
14	BX	0.117248863	F7
14	EH	0.107955707	F7
14	LA	0.135910613	F7
14	TB	0.160123582	F7
14	LW	0.111758658	F7
14	LD	0.116579208	F7
14	PT	0.133794368	F7
14	WD	0.116629001	F7
15	BX	0.115783242	F6
15	EH	0.116259964	F6
15	LA	0.097224204	F6
15	TB	0.166993296	F6
15	LW	0.159264108	F6
15	LD	0.153746832	F6
15	PT	0.081150625	F6
15	WD	0.10957773	F6
15	BX	0.086061508	F7
15	EH	0.11541304	F7
15	LA	0.097719677	F7
15	TB	0.138722454	F7
15	LW	0.156029937	F7
15	LD	0.16129102	F7
15	PT	0.100175579	F7
15	WD	0.144586785	F7
16	BX	0.121794154	F6
16	EH	0.097733077	F6
16	LA	0.16588991	F6
16	TB	0.127487732	F6
16	LW	0.125406459	F6
16	LD	0.097436823	F6
16	PT	0.11671075	F6
16	WD	0.147541094	F6
16	BX	0.091731176	F7
16	EH	0.107165754	F7
16	LA	0.216310799	F7
16	TB	0.123633018	F7
16	LW	0.125947614	F7
16	LD	0.088589352	F7
16	PT	0.11336312	F7
16	WD	0.133259166	F7
17	BX	0.124125613	F6
17	EH	0.106823578	F6
17	LA	0.097364518	F6
17	TB	0.123695527	F6
17	LW	0.139260436	F6
17	LD	0.204822498	F6
17	PT	0.100027945	F6
17	WD	0.103879885	F6
17	BX	0.152667359	F7
17	EH	0.11125593	F7
17	LA	0.092431229	F7
17	TB	0.171524278	F7
17	LW	0.128415651	F7
17	LD	0.127737147	F7
17	PT	0.126814655	F7
17	WD	0.08915375	F7
18	BX	0.145567543	F6
18	EH	0.080586261	F6
18	LA	0.079851657	F6
18	TB	0.095295248	F6
18	LW	0.091795061	F6
18	LD	0.191898926	F6
18	PT	0.143460654	F6
18	WD	0.17154465	F6
18	BX	0.128561671	F7
18	EH	0.088651657	F7
18	LA	0.106825985	F7
18	TB	0.105318713	F7
18	LW	0.135978365	F7
18	LD	0.147532937	F7
18	PT	0.093985157	F7
18	WD	0.193145516	F7
