id	F6-p	F7-p	annotation	group	method	shape
Otu3769	0.3996	0.04229	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
Otu24743	0.5733	0.0834	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;p-75-a5"	red	h2-q	Quantitative
Otu327	4.60E-08	1.35E-25	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu1228	0.0001516	0.2355	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu477	0.02485	0.04521	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus"	blue	h1-q	Binary_Quantitative
Otu1362	0.03685	0.07315	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu474	0.0401	0.1894	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus"	blue	h1-q	Binary_Quantitative
Otu113	0.05116	0.005173	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Eubacterium;Eubacterium_biforme"	blue	h1-q	Binary_Quantitative
Otu5864	0.06811	0.03359	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu25329	0.08027	0.4986	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu511	0.09171	0.03843	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu5866	0.1039	0.6034	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu256	0.1235	0.06316	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu435	0.1381	0.6127	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu5895	0.1443	0.2021	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu544	0.1924	0.289	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu473	0.2406	0.8076	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;L7A_E11"	blue	h1-q	Binary_Quantitative
Otu24781	0.2458	0.5364	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;Bulleidia_p-1630-c5"	blue	h1-q	Binary_Quantitative
Otu155	0.2473	0.2701	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Sharpea;Sharpea_azabuensis"	blue	h1-q	Binary_Quantitative
Otu475	0.2528	0.3643	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu166	0.3094	0.1236	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu3957	0.3164	0.9074	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu29	0.3398	0.6749	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu329	0.3554	0.06348	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu26627	0.3947	0.08635	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu5907	0.4075	0.2491	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu485	0.411	0.02434	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu15716	0.4165	0.4847	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia"	blue	h1-q	Binary_Quantitative
Otu216	0.4198	0.5224	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu516	0.4267	0.383	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu533	0.4316	0.7262	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu5946	0.4707	0.5499	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu520	0.4952	0.2736	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu486	0.5088	0.4511	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu6916	0.5091	0.238	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu1410	0.5184	0.71	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;Bulleidia_p-1630-c5"	blue	h1-q	Binary_Quantitative
Otu6983	0.519	0.9288	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Asteroleplasma;Asteroleplasma_anaerobium"	blue	h1-q	Binary_Quantitative
Otu24905	0.5296	0.7153	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu8705	0.5442	0.5687	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia"	blue	h1-q	Binary_Quantitative
Otu492	0.5501	0.8731	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu4035	0.574	0.5649	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu502	0.6245	0.9208	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu573	0.6267	0.9036	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu554	0.6623	0.1304	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Asteroleplasma;Asteroleplasma_anaerobium"	blue	h1-q	Binary_Quantitative
Otu16891	0.6638	0.9624	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;Bulleidia_p-1630-c5"	blue	h1-q	Binary_Quantitative
Otu3222	0.6755	0.7747	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu207	0.7697	0.389	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu1477	0.8275	0.9511	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu1153	0.8348	0.5204	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu5888	0.8351	0.6715	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Eubacterium"	blue	h1-q	Binary_Quantitative
Otu366	0.853	0.6799	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu471	0.8665	0.9989	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu507	0.9056	0.0565	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu128	0.9145	0.297	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu346	0.9191	0.3054	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu344	0.9414	0.6318	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h1-q	Binary_Quantitative
Otu505	0.9455	0.7571	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu1147	0.00002412	0.0001402	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;Bulleidia_p-1630-c5"	blue	h1-q	Binary_Quantitative
Otu1278	0.00002561	0.000011	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h1-q	Binary_Quantitative
Otu113	0.0001323	0.001836	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Eubacterium;Eubacterium_biforme"	blue	h2-q	Quantitative
Otu1147	0.0009405	0.0002392	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;Bulleidia_p-1630-c5"	blue	h2-q	Quantitative
Otu8705	0.03252	0.577	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia"	blue	h2-q	Quantitative
Otu29	0.07034	0.1739	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu166	0.07496	0.3582	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu327	0.1147	0.003629	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu155	0.116	0.007443	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Sharpea;Sharpea_azabuensis"	blue	h2-q	Quantitative
Otu346	0.1204	0.6275	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu474	0.1279	0.2935	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus"	blue	h2-q	Quantitative
Otu5888	0.1499	0.09418	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Eubacterium"	blue	h2-q	Quantitative
Otu16891	0.1778	0.6099	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;Bulleidia_p-1630-c5"	blue	h2-q	Quantitative
Otu15716	0.2042	0.6255	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia"	blue	h2-q	Quantitative
Otu435	0.2291	0.621	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu486	0.3011	0.1482	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu520	0.318	0.1364	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu502	0.3282	0.7149	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu533	0.3633	0.1539	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu1477	0.3635	0.773	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu5864	0.3737	0.729	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu25329	0.3977	0.8414	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu5907	0.409	0.2742	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu3957	0.4197	0.7356	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu5946	0.4538	0.06512	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu5866	0.4561	0.3047	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu1362	0.4644	0.7231	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu1228	0.4837	0.3569	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu256	0.5002	0.04953	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu329	0.5013	0.3689	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu492	0.52	0.06578	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu366	0.5328	0.8174	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu5895	0.5702	0.6286	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu207	0.5832	0.4331	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu3222	0.585	0.6165	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu24781	0.594	0.4041	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;Bulleidia_p-1630-c5"	blue	h2-q	Quantitative
Otu475	0.605	0.8227	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu128	0.6403	0.1636	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu24905	0.6477	0.4463	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu1410	0.6535	0.6958	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;Bulleidia_p-1630-c5"	blue	h2-q	Quantitative
Otu6983	0.6587	0.9926	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Asteroleplasma;Asteroleplasma_anaerobium"	blue	h2-q	Quantitative
Otu471	0.6885	0.3372	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu544	0.6972	0.8564	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu473	0.7086	0.4966	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;L7A_E11"	blue	h2-q	Quantitative
Otu507	0.7186	0.2871	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu516	0.7275	0.175	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu477	0.7299	0.8416	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus"	blue	h2-q	Quantitative
Otu1153	0.7908	0.2836	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu4035	0.8467	0.3261	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu511	0.8624	0.2086	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu554	0.878	0.1135	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Asteroleplasma;Asteroleplasma_anaerobium"	blue	h2-q	Quantitative
Otu216	0.8811	0.4395	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu6916	0.8869	0.1531	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu573	0.9142	0.1101	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu344	0.9641	0.2475	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;RFN20"	blue	h2-q	Quantitative
Otu26627	0.9854	0.9544	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu505	0.9882	0.6472	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu1278	0.00536	0.000001543	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu485	0.1842	0.00001992	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae"	blue	h2-q	Quantitative
Otu375	0.0000901	0.00000179	"Bacteria;Tenericutes;Mollicutes;RF39"	grey	h1-q	Binary_Quantitative
Otu28842	0.0001849	0.001418	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu607	0.0004829	0.3371	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu7163	0.000668	0.2561	"Bacteria;Firmicutes"	grey	h1-q	Binary_Quantitative
Otu21880	0.00104	0.8403	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu22081	0.00181	0.4634	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu10614	0.002397	0.9889	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu28854	0.00256	0.114	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu724	0.003399	0.2623	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu17807	0.003679	0.8032	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu17069	0.003705	0.5745	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu21446	0.004107	0.4867	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h1-q	Binary_Quantitative
Otu1521	0.004194	0.8256	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu7144	0.004329	0.1346	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h1-q	Binary_Quantitative
Otu4066	0.005313	0.3089	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h1-q	Binary_Quantitative
Otu9034	0.005503	0.8617	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"	grey	h1-q	Binary_Quantitative
Otu9737	0.005876	0.2833	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;RF16"	grey	h1-q	Binary_Quantitative
Otu725	0.006001	0.1223	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu10494	0.006091	0.81	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu15774	0.006095	0.8768	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu16017	0.00633	0.2125	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu45	0.006621	0.1907	"Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae"	grey	h1-q	Binary_Quantitative
Otu25560	0.006803	0.4875	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu3755	0.007432	0.7732	"Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae"	grey	h1-q	Binary_Quantitative
Otu10919	0.008019	0.7365	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella_copri"	grey	h1-q	Binary_Quantitative
Otu1569	0.008151	0.5846	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7"	grey	h1-q	Binary_Quantitative
Otu7042	0.008563	0.2086	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h1-q	Binary_Quantitative
Otu16409	0.008926	0.6591	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
